sourcecontrol_id,control_identifier,control_name,sp800_53_family,catalog,source_document
PM-07,PM-07,Enterprise Architecture,PM,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
PM-07(01),PM-07(01),Enterprise Architecture | Offloading,PM,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
PM-08,PM-08,Critical Infrastructure Plan,PM,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
PM-09,PM-09,Risk Management Strategy,PM,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
PM-10,PM-10,Authorization Process,PM,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
PM-11,PM-11,Mission and Business Process Definition,PM,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
PM-12,PM-12,Insider Threat Program,PM,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
PM-13,PM-13,Security and Privacy Workforce,PM,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
PM-14,PM-14,"Testing, Training, and Monitoring",PM,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
PM-15,PM-15,Security and Privacy Groups and Associations,PM,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
PM-16,PM-16,Threat Awareness Program,PM,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
PM-16(01),PM-16(01),Threat Awareness Program | Automated Means for Sharing Threat Intelligence,PM,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
PM-17,PM-17,Protecting Controlled Unclassified Information on External Systems,PM,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
PM-18,PM-18,Privacy Program Plan,PM,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
PM-19,PM-19,Privacy Program Leadership Role,PM,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
PM-20,PM-20,Dissemination of Privacy Program Information,PM,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
PM-20(01),PM-20(01),"Dissemination of Privacy Program Information | Privacy Policies on Websites, Applications, and Digital Services",PM,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
PM-21,PM-21,Accounting of Disclosures,PM,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
PM-22,PM-22,Personally Identifiable Information Quality Management,PM,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
PM-23,PM-23,Data Governance Body,PM,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
PM-24,PM-24,Data Integrity Board,PM,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
PM-25,PM-25,"Minimization of PII Used in Testing, Training, and Research",PM,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
PM-26,PM-26,Complaint Management,PM,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
PM-27,PM-27,Privacy Reporting,PM,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
PM-28,PM-28,Risk Framing,PM,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
PM-29,PM-29,Risk Management Program Leadership Roles,PM,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
PM-30,PM-30,Supply Chain Risk Management Strategy,PM,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
PM-30(01),PM-30(01),Supply Chain Risk Management Strategy | Suppliers of Critical or Mission-Essential Items,PM,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
PM-31,PM-31,Continuous Monitoring Strategy,PM,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
PM-32,PM-32,Purposing,PM,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
PS-01,PS-01,Policy and Procedures,PS,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
PS-02,PS-02,Position Risk Designation,PS,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
PS-03,PS-03,Personnel Screening,PS,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
PS-04,PS-04,Personnel Termination,PS,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
PS-05,PS-05,Personnel Transfer,PS,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
PS-06,PS-06,Access Agreements,PS,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
PS-07,PS-07,External Personnel Security,PS,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
PS-08,PS-08,Personnel Sanctions,PS,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
PS-09,PS-09,Position Descriptions,PS,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
PT-01,PT-01,Policy and Procedures,PT,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
PT-02,PT-02,Authority to Process Personally Identifiable Information,PT,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
PT-02(01),PT-02(01),Authority to Process Personally Identifiable Information | Data Tagging,PT,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
PT-02(02),PT-02(02),Authority to Process Personally Identifiable Information | Automation,PT,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
PT-03,PT-03,Personally Identifiable Information Processing Purposes,PT,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
PT-03(01),PT-03(01),Personally Identifiable Information Processing Purposes | Data Tagging,PT,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
PT-03(02),PT-03(02),Personally Identifiable Information Processing Purposes | Automation,PT,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
PT-04,PT-04,Consent,PT,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
PT-04(01),PT-04(01),Consent | Tailored Consent,PT,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
PT-04(02),PT-04(02),Consent | Just-in-Time Consent,PT,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
PT-04(03),PT-04(03),Consent | Revocation,PT,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
PT-05,PT-05,Privacy Notice,PT,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
PT-05(01),PT-05(01),Privacy Notice | Just-in-Time Notice,PT,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
PT-05(02),PT-05(02),Privacy Notice | Privacy Act Statements,PT,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
PT-06,PT-06,System of Records Notice,PT,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
PT-06(01),PT-06(01),System of Records Notice | Routine Uses,PT,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
PT-06(02),PT-06(02),System of Records Notice | Exemption Rules,PT,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
PT-07,PT-07,Specific Categories of Personally Identifiable Information,PT,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
PT-07(01),PT-07(01),Specific Categories of Personally Identifiable Information | Social Security Numbers,PT,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
PT-07(02),PT-07(02),Specific Categories of Personally Identifiable Information | First Amendment Information,PT,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
PT-08,PT-08,Computer Matching Requirements,PT,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
RA-01,RA-01,Policy and Procedures,RA,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
RA-02,RA-02,Security Categorization,RA,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
RA-03,RA-03,Risk Assessment,RA,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
RA-03(01),RA-03(01),Risk Assessment | Supply Chain Risk Assessment,RA,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
RA-05,RA-05,Vulnerability Monitoring and Scanning,RA,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
RA-05(02),RA-05(02),Vulnerability Monitoring and Scanning | Update Vulnerabilities to be Scanned,RA,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
RA-05(05),RA-05(05),Vulnerability Monitoring and Scanning | Privileged Access,RA,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
RA-05(11),RA-05(11),Vulnerability Monitoring and Scanning | Public Disclosure Program,RA,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
RA-07,RA-07,Risk Response,RA,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
RA-09,RA-09,Criticality Analysis,RA,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
SA-01,SA-01,Policy and Procedures,SA,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
SA-02,SA-02,Allocation of Resources,SA,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
SA-03,SA-03,System Development Life Cycle,SA,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
SA-04,SA-04,Acquisition Process,SA,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
SA-04(01),SA-04(01),Acquisition Process | Functional Properties of Controls,SA,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
SA-04(02),SA-04(02),Acquisition Process | Design and Implementation Information for Controls,SA,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
SA-04(09),SA-04(09),"Acquisition Process | Functions, Ports, Protocols, and Services in Use",SA,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
SA-04(10),SA-04(10),Acquisition Process | Use of Approved PIV Products,SA,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
SA-05,SA-05,System Documentation,SA,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
SA-08,SA-08,Security and Privacy Engineering Principles,SA,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
SA-09,SA-09,External System Services,SA,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
SA-09(02),SA-09(02),"External System Services | Identification of Functions, Ports, Protocols, and Services",SA,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
SA-10,SA-10,Developer Configuration Management,SA,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
SA-11,SA-11,Developer Testing and Evaluation,SA,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
SA-15,SA-15,"Development Process, Standards, and Tools",SA,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
SA-15(03),SA-15(03),"Development Process, Standards, and Tools | Criticality Analysis",SA,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
SA-22,SA-22,Unsupported System Components,SA,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
SC-01,SC-01,Policy and Procedures,SC,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
SC-02,SC-02,Separation of System and User Functionality,SC,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
SC-04,SC-04,Information in Shared System Resources,SC,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
SC-05,SC-05,Denial-of-Service Protection,SC,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
SC-07,SC-07,Boundary Protection,SC,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
SC-07(03),SC-07(03),Boundary Protection | Access Points,SC,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
SC-07(04),SC-07(04),Boundary Protection | External Telecommunications Services,SC,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
SC-07(05),SC-07(05),Boundary Protection | Deny by Default – Allow by Exception,SC,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
SC-07(07),SC-07(07),Boundary Protection | Split Tunneling for Remote Devices,SC,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
SC-07(08),SC-07(08),Boundary Protection | Route Traffic to Authenticated Proxy Servers,SC,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
SC-08,SC-08,Transmission Confidentiality and Integrity,SC,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
SC-08(01),SC-08(01),Transmission Confidentiality and Integrity | Cryptographic Protection,SC,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
SC-10,SC-10,Network Disconnect,SC,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
SC-12,SC-12,Cryptographic Key Establishment and Management,SC,NIST SP 800-53 [8] (moderate baseline per SP 800-53B [12]),"NIST SP 800-171r3, Protecting Controlled Unclassified Information in Nonfederal Systems and Organizations (May 2024) — KB 2/USA/NIST.SP.800-171r3.pdf"
