control_id,control_name,control_text,domain_identifier,pptdf_scope,control_question,relative_weighting,nist_csf_function,is_new_control,is_mcr,is_dsr,control_type
MNT-10,Maintenance Validation,Mechanisms exist to validate maintenance activities were appropriately performed according to the work order and that security controls are operational.,MNT,Process,Does the organization validate maintenance activities were appropriately performed according to the work order and that security controls are operational?,6,Detect,No,No,No,SCF
MNT-11,Maintenance Monitoring,Mechanisms exist to maintain situational awareness of the quality and reliability of systems and components through tracking maintenance activities and component failure rates.,MNT,Process,Does the organization maintain situational awareness of the quality and reliability of systems and components through tracking maintenance activities and component failure rates?,6,Detect,No,No,No,SCF
MON-01,Continuous Monitoring,Mechanisms exist to facilitate the implementation of enterprise-wide monitoring controls.,MON,Technology,Does the organization facilitate the implementation of enterprise-wide monitoring controls?,10,Govern,No,No,No,SCF
MON-01.1,Intrusion Detection & Prevention Systems (IDS & IPS),"Mechanisms exist to implement Intrusion Detection / Prevention Systems (IDS / IPS) technologies on critical systems, key network segments and network choke points.",MON,Technology,"Does the organization implement Intrusion Detection / Prevention Systems (IDS / IPS) technologies on critical systems, key network segments and network choke points?",9,Detect,No,No,No,SCF
MON-01.10,Deactivated Account Activity ,Mechanisms exist to monitor deactivated accounts for attempted usage.,MON,Technology,Does the organization monitor deactivated accounts for attempted usage?,9,Detect,No,No,No,SCF
MON-01.11,Automated Response to Suspicious Events,Mechanisms exist to automatically implement pre-determined corrective actions in response to detected events that have security incident implications.,MON,Technology,Does the organization automatically implement pre-determined corrective actions in response to detected events that have security incident implications?,5,Detect,No,No,No,SCF
MON-01.12,Automated Alerts,Mechanisms exist to automatically alert incident response personnel to inappropriate or anomalous activities that have potential security incident implications.,MON,Technology,Does the organization automatically alert incident response personnel to inappropriate or anomalous activities that have potential security incident implications?,5,Detect,No,No,No,SCF
MON-01.13,Alert Threshold Tuning,"Mechanisms exist to ""tune"" event monitoring technologies through analyzing communications traffic/event patterns and developing profiles representing common traffic patterns and/or events.",MON,Technology,"Does the organization ""tune"" event monitoring technologies through analyzing communications traffic/event patterns and developing profiles representing common traffic patterns and/or events?",5,Detect,No,No,No,SCF
MON-01.14,Individuals Posing Greater Risk,Mechanisms exist to implement enhanced activity monitoring for individuals who have been identified as posing an increased level of risk. ,MON,Technology,Does the organization implement enhanced activity monitoring for individuals who have been identified as posing an increased level of risk? ,5,Detect,No,No,No,SCF
MON-01.15,Privileged User Oversight,Mechanisms exist to implement enhanced activity monitoring for privileged users.,MON,Technology,Does the organization implement enhanced activity monitoring for privileged users?,5,Detect,No,No,No,SCF
MON-01.16,Analyze and Prioritize Monitoring Requirements,"Mechanisms exist to assess the organization's needs for monitoring and prioritize the monitoring of assets, based on asset criticality and the sensitivity of the data it stores, transmits and processes.",MON,Technology,"Does the organization assess its needs for monitoring and prioritize the monitoring of assets, based on asset criticality and the sensitivity of the data it stores, transmits and processes?",5,Detect,No,No,No,SCF
MON-01.17,Real-Time Session Monitoring,"Mechanisms exist to enable authorized personnel the ability to remotely view and hear content related to an established user session in real time, in accordance with organizational standards, as well as statutory, regulatory and contractual obligations.",MON,Technology,"Does the organization enable authorized personnel the ability to remotely view and hear content related to an established user session in real time, in accordance with organizational standards, as well as statutory, regulatory and contractual obligations?",4,Detect,No,No,No,SCF
MON-01.2,Automated Tools for Real-Time Analysis ,"Mechanisms exist to utilize a Security Incident Event Manager (SIEM), or similar automated tool, to support near real-time analysis and incident escalation. ",MON,Technology,"Does the organization utilize a Security Incident Event Manager (SIEM), or similar automated tool, to support near real-time analysis and incident escalation? ",9,Detect,No,No,No,SCF
MON-01.3,Inbound & Outbound Communications Traffic ,Mechanisms exist to continuously monitor inbound and outbound communications traffic for unusual or unauthorized activities or conditions.,MON,Technology,Does the organization continuously monitor inbound and outbound communications traffic for unusual or unauthorized activities or conditions?,9,Detect,No,No,No,SCF
MON-01.4,System Generated Alerts ,"Mechanisms exist to generate, monitor, correlate and respond to alerts from physical, cybersecurity, data privacy and supply chain activities to achieve integrated situational awareness. ",MON,Technology,"Does the organization generate, monitor, correlate and respond to alerts from physical, cybersecurity, data privacy and supply chain activities to achieve integrated situational awareness?",7,Detect,No,No,No,SCF
MON-01.5,Wireless Intrusion Detection System (WIDS),Mechanisms exist to utilize Wireless Intrusion Detection / Protection Systems (WIDS / WIPS) to identify rogue wireless devices and to detect attack attempts via wireless networks. ,MON,Technology,Does the organization utilize Wireless Intrusion Detection / Protection Systems (WIDS / WIPS) to identify rogue wireless devices and to detect attack attempts via wireless networks? ,5,Detect,No,No,No,SCF
MON-01.6,Host-Based Devices ,"Mechanisms exist to utilize Host-based Intrusion Detection / Prevention Systems (HIDS / HIPS) to actively alert on or block unwanted activities and send logs to a Security Incident Event Manager (SIEM), or similar automated tool, to maintain situational awareness.",MON,Technology,"Does the organization utilize Host-based Intrusion Detection / Prevention Systems (HIDS / HIPS) to actively alert on or block unwanted activities and send logs to a Security Incident Event Manager (SIEM), or similar automated tool, to maintain situational awareness?",8,Detect,No,No,No,SCF
MON-01.7,File Integrity Monitoring (FIM),"Mechanisms exist to utilize a File Integrity Monitor (FIM), or similar change-detection technology, on critical assets to generate alerts for unauthorized modifications. ",MON,Technology,"Does the organization utilize a File Integrity Monitor (FIM), or similar change-detection technology, on critical assets to generate alerts for unauthorized modifications? ",9,Detect,No,No,No,SCF
MON-01.8,Security Event Monitoring,Mechanisms exist to review event logs on an ongoing basis and escalate incidents in accordance with established timelines and procedures.,MON,Process,Does the organization review event logs on an ongoing basis and escalate incidents in accordance with established timelines and procedures?,10,Detect,No,No,No,SCF
MON-01.9,Proxy Logging ,"Mechanisms exist to log all Internet-bound requests, in order to identify prohibited activities and assist incident handlers with identifying potentially compromised systems. ",MON,Technology,"Does the organization log all Internet-bound requests, in order to identify prohibited activities and assist incident handlers with identifying potentially compromised systems? ",8,Detect,No,No,No,SCF
MON-02,Centralized Collection of Security Event Logs,"Mechanisms exist to utilize a Security Incident Event Manager (SIEM), or similar automated tool, to support the centralized collection of security-related event logs.",MON,Technology,"Does the organization utilize a Security Incident Event Manager (SIEM) or similar automated tool, to support the centralized collection of security-related event logs?",10,Detect,No,No,No,SCF
MON-02.1,Correlate Monitoring Information,"Automated mechanisms exist to correlate both technical and non-technical information from across the enterprise by a Security Incident Event Manager (SIEM) or similar automated tool, to enhance organization-wide situational awareness.",MON,Technology,"Does the organization use automated mechanisms to correlate both technical and non-technical information from across the enterprise by a Security Incident Event Manager (SIEM) or similar automated tool, to enhance organization-wide situational awareness?",9,Detect,No,No,No,SCF
MON-02.2,Central Review & Analysis,"Automated mechanisms exist to centrally collect, review and analyze audit records from multiple sources.",MON,Technology,"Does the organization use automated mechanisms to centrally collect, review and analyze audit records from multiple sources?",5,Detect,No,No,No,SCF
MON-02.3,Integration of Scanning & Other Monitoring Information,"Automated mechanisms exist to integrate the analysis of audit records with analysis of vulnerability scanners, network performance, system monitoring and other sources to further enhance the ability to identify inappropriate or unusual activity.",MON,Technology,"Does the organization use automated mechanisms to integrate the analysis of audit records with analysis of vulnerability scanners, network performance, system monitoring and other sources to further enhance the ability to identify inappropriate or unusual activity?",5,Detect,No,No,No,SCF
MON-02.4,Correlation with Physical Monitoring,"Automated mechanisms exist to correlate information from audit records with information obtained from monitoring physical access to further enhance the ability to identify suspicious, inappropriate, unusual or malevolent activity. ",MON,Technology,"Does the organization use automated mechanisms to correlate information from audit records with information obtained from monitoring physical access to further enhance the ability to identify suspicious, inappropriate, unusual or malevolent activity? ",5,Detect,No,No,No,SCF
MON-02.5,Permitted Actions,"Mechanisms exist to specify the permitted actions for both users and systems associated with the review, analysis and reporting of audit information. ",MON,Technology,"Does the organization specify the permitted actions for both users and systems associated with the review, analysis and reporting of audit information? ",5,Protect,No,No,No,SCF
MON-02.6,Audit Level Adjustments,"Mechanisms exist to adjust the level of audit review, analysis and reporting based on evolving threat information from law enforcement, industry associations or other credible sources of threat intelligence. ",MON,Technology,"Does the organization adjust the level of audit review, analysis and reporting based on evolving threat information from law enforcement, industry associations or other credible sources of threat intelligence? ",5,Detect,No,No,No,SCF
MON-02.7,System-Wide / Time-Correlated Audit Trail,Automated mechanisms exist to compile audit records into an organization-wide audit trail that is time-correlated.,MON,Technology,Does the organization use automated mechanisms to compile audit records into an organization-wide audit trail that is time-correlated?,5,Detect,No,No,No,SCF
MON-02.8,Changes by Authorized Individuals,"Mechanisms exist to provide privileged users or roles the capability to change the auditing to be performed on specified information system components, based on specific event criteria within specified time thresholds. ",MON,Technology,"Does the organization provide privileged users or roles the capability to change the auditing to be performed on specified information system components, based on specific event criteria within specified time thresholds? ",5,Detect,No,No,No,SCF
MON-02.9,Inventory of Technology Asset Event Logging,Mechanisms exist to maintain a current and accurate inventory of technology assets being logged.,MON,Process,Does the organization maintain a current and accurate inventory of technology assets being logged?,7,Identify,Yes,No,No,SCF
MON-03,Content of Event Logs,"Mechanisms exist to configure systems to produce event logs that contain sufficient information to, at a minimum:
(1) Establish what type of event occurred;
(2) When (date and time) the event occurred;
(3) Where the event occurred;
(4) The source of the event;
(5) The outcome (success or failure) of the event; and 
(6) The identity of any user/subject associated with the event. ",MON,Technology,"Does the organization configure systems to produce event logs that contain sufficient information to, at a minimum:
 (1) Establish what type of event occurred;
 (2) When (date and time) the event occurred;
 (3) Where the event occurred;
 (4) The source of the event;
 (5) The outcome (success or failure) of the event; and 
 (6) The identity of any user/subject associated with the event?",10,Detect,No,No,No,SCF
MON-03.1,Sensitive Audit Information,Mechanisms exist to protect sensitive/regulated data contained in log files. ,MON,Data,Does the organization protect sensitive/regulated data contained in log files? ,8,Detect,No,No,No,SCF
MON-03.2,Audit Trails,Mechanisms exist to link system access to individual users or service accounts.,MON,Technology,Does the organization link system access to individual users or service accounts?,10,Detect,No,No,No,SCF
MON-03.3,Privileged Functions Logging ,Mechanisms exist to log and review the actions of users and/or services with elevated privileges.,MON,Technology,Does the organization log and review the actions of users and/or services with elevated privileges?,8,Detect,No,No,No,SCF
MON-03.4,Verbosity Logging for Boundary Devices ,"Mechanisms exist to verbosely log all traffic (both allowed and blocked) arriving at network boundary devices, including firewalls, Intrusion Detection / Prevention Systems (IDS/IPS) and inbound and outbound proxies.",MON,Technology,"Does the organization verbosely log all traffic (both allowed and blocked) arriving at network boundary devices, including firewalls, Intrusion Detection / Prevention Systems (IDS/IPS) and inbound and outbound proxies?",5,Detect,No,No,No,SCF
MON-03.5,Limit Personal Data (PD) In Audit Records,Mechanisms exist to limit Personal Data (PD) contained in audit records to the elements identified in the data privacy risk assessment.,MON,Technology,Does the organization limit Personal Data (PD) contained in audit records to the elements identified in the data privacy risk assessment?,8,Detect,No,No,No,SCF
MON-03.6,Centralized Management of Planned Audit Record Content,Mechanisms exist to centrally manage and configure the content required to be captured in audit records generated by organization-defined information system components. ,MON,Process,Does the organization centrally manage and configure the content required to be captured in audit records generated by organization-defined information system components? ,5,Detect,No,No,No,SCF
MON-03.7,Database Logging,Mechanisms exist to ensure databases produce audit records that contain sufficient information to monitor database activities.,MON,Technology,Does the organization ensure databases produce audit records that contain sufficient information to monitor database activities?,8,Detect,No,No,No,SCF
MON-04,Event Log Storage Capacity ,Mechanisms exist to allocate and proactively manage sufficient event log storage capacity to reduce the likelihood of such capacity being exceeded. ,MON,Technology,Does the organization allocate and proactively manage sufficient event log storage capacity to reduce the likelihood of such capacity being exceeded? ,8,Detect,No,No,No,SCF
MON-05,Response To Event Log Processing Failures,Mechanisms exist to alert appropriate personnel in the event of a log processing failure and take actions to remedy the disruption.,MON,Process,Does the organization alert appropriate personnel in the event of a log processing failure and take actions to remedy the disruption?,8,Detect,No,No,No,SCF
MON-05.1,Real-Time Alerts of Event Logging Failure,Mechanisms exist to provide 24x7x365 near real-time alerting capability when an event log processing failure occurs. ,MON,Technology,Does the organization provide 24x7x365 near real-time alerting capability when an event log processing failure occurs? ,6,Detect,No,No,No,SCF
MON-05.2,Event Log Storage Capacity Alerting ,Automated mechanisms exist to alert appropriate personnel when the allocated volume reaches an organization-defined percentage of maximum event log storage capacity.,MON,Technology,Does the organization use automated mechanisms to alert appropriate personnel when the allocated volume reaches an organization-defined percentage of maximum event log storage capacity?,5,Detect,No,No,No,SCF
MON-06,Monitoring Reporting ,Mechanisms exist to provide an event log report generation capability to aid in detecting and assessing anomalous activities. ,MON,Technology,Does the organization provide an event log report generation capability to aid in detecting and assessing anomalous activities? ,7,Detect,No,No,No,SCF
MON-06.1,Query Parameter Audits of Personal Data (PD),Mechanisms exist to provide and implement the capability for auditing the parameters of user query events for data sets containing Personal Data (PD).,MON,Technology,Does the organization provide and implement the capability for auditing the parameters of user query events for data sets containing Personal Data (PD)?,3,Detect,No,No,No,SCF
MON-06.2,Trend Analysis Reporting,"Mechanisms exist to employ trend analyses to determine if security control implementations, the frequency of continuous monitoring activities, and/or the types of activities used in the continuous monitoring process need to be modified based on empirical data.",MON,Technology,"Does the organization employ trend analyses to determine if security control implementations, the frequency of continuous monitoring activities, and/or the types of activities used in the continuous monitoring process need to be modified based on empirical data?",5,Detect,No,No,No,SCF
MON-07,Time Stamps ,Mechanisms exist to configure systems to use an authoritative time source to generate time stamps for event logs. ,MON,Technology,Does the organization configure systems to use an authoritative time source to generate time stamps for event logs? ,10,Detect,No,No,No,SCF
MON-07.1,Synchronization With Authoritative Time Source,Mechanisms exist to synchronize internal system clocks with an authoritative time source. ,MON,Technology,Does the organization synchronize internal system clocks with an authoritative time source? ,8,Detect,No,No,No,SCF
MON-08,Protection of Event Logs ,"Mechanisms exist to protect event logs and audit tools from unauthorized access, modification and deletion.",MON,Data,"Does the organization protect event logs and audit tools from unauthorized access, modification and deletion?",10,Detect,No,No,No,SCF
MON-08.1,Event Log Backup on Separate Physical Systems / Components ,Mechanisms exist to back up event logs onto a physically different system or system component than the Security Incident Event Manager (SIEM) or similar automated tool.,MON,Technology,Does the organization back up event logs onto a physically different system or system component than the Security Incident Event Manager (SIEM) or similar automated tool?,5,Detect,No,No,No,SCF
MON-08.2,Access by Subset of Privileged Users ,Mechanisms exist to restrict access to the management of event logs to privileged users with a specific business need.,MON,Technology,Does the organization restrict access to the management of event logs to privileged users with a specific business need?,8,Detect,No,No,No,SCF
MON-08.3,Cryptographic Protection of Event Log Information,Cryptographic mechanisms exist to protect the integrity of event logs and audit tools. ,MON,Technology,Are cryptographic mechanisms utilized to protect the integrity of event logs and audit tools? ,5,Protect,No,No,No,SCF
MON-08.4,Dual Authorization for Event Log Movement,Automated mechanisms exist to enforce dual authorization for the movement or deletion of event logs.,MON,Technology,Does the organization use automated mechanisms to enforce dual authorization for the movement or deletion of event logs?,5,Protect,No,No,No,SCF
MON-09,Non-Repudiation,Mechanisms exist to utilize a non-repudiation capability to protect against an individual falsely denying having performed a particular action. ,MON,Technology,Does the organization utilize a non-repudiation capability to protect against an individual falsely denying having performed a particular action? ,8,Protect,No,No,No,SCF
MON-09.1,Identity Binding,Mechanisms exist to bind the identity of the information producer to the information generated.,MON,Technology,Does the organization bind the identity of the information producer to the information generated?,4,Protect,No,No,No,SCF
MON-10,Event Log Retention,"Mechanisms exist to retain event logs for a time period consistent with records retention requirements to provide support for after-the-fact investigations of security incidents and to meet statutory, regulatory and contractual retention requirements. ",MON,Data,"Does the organization retain event logs for a time period consistent with records retention requirements to provide support for after-the-fact investigations of security incidents and to meet statutory, regulatory and contractual retention requirements? ",10,Detect,No,No,No,SCF
MON-11,Monitoring For Information Disclosure,Mechanisms exist to monitor for evidence of unauthorized exfiltration or disclosure of non-public information. ,MON,Process,Does the organization monitor for evidence of unauthorized exfiltration or disclosure of non-public information? ,8,Detect,No,No,No,SCF
MON-11.1,Analyze Traffic for Covert Exfiltration,Automated mechanisms exist to analyze network traffic to detect covert data exfiltration.,MON,Technology,Does the organization use automated mechanisms to analyze network traffic to detect covert data exfiltration?,5,Detect,No,No,No,SCF
MON-11.2,Unauthorized Network Services,Automated mechanisms exist to detect unauthorized network services and alert incident response personnel. ,MON,Technology,Does the organization use automated mechanisms to detect unauthorized network services and alert incident response personnel? ,5,Detect,No,No,No,SCF
MON-11.3,Monitoring for Indicators of Compromise (IOC),Automated mechanisms exist to identify and alert on Indicators of Compromise (IoC). ,MON,Technology,Does the organization use automated mechanisms to identify and alert on Indicators of Compromise (IoC)? ,5,Detect,No,No,No,SCF
MON-12,Session Audit ,"Mechanisms exist to provide session audit capabilities that can: 
(1) Capture and log all content related to a user session; and
(2) Remotely view all content related to an established user session in real time.",MON,Technology,"Does the organization provide session audit capabilities that can: 
 (1) Capture and log all content related to a user session; and
 (2) Remotely view all content related to an established user session in real time?",7,Detect,No,No,No,SCF
MON-13,Alternate Event Logging Capability ,Mechanisms exist to provide an alternate event logging capability in the event of a failure in primary audit capability.,MON,Technology,Does the organization provide an alternate event logging capability in the event of a failure in primary audit capability?,3,Detect,No,No,No,SCF
MON-14,Cross-Organizational Monitoring ,"Mechanisms exist to coordinate sanitized event logs among external organizations to identify anomalous events when event logs are shared across organizational boundaries, without giving away sensitive or critical business data.",MON,Technology,"Does the organization coordinate sanitized event logs among external organizations to identify anomalous events when event logs are shared across organizational boundaries, without giving away sensitive or critical business data?",3,Detect,No,No,No,SCF
MON-14.1,Sharing of Event Logs,Mechanisms exist to share event logs with third-party organizations based on specific cross-organizational sharing agreements.,MON,Process,Does the organization share event logs with third-party organizations based on specific cross-organizational sharing agreements?,5,Detect,No,No,No,SCF
MON-15,Covert Channel Analysis ,Mechanisms exist to conduct covert channel analysis to identify aspects of communications that are potential avenues for covert channels.,MON,Technology,Does the organization conduct covert channel analysis to identify aspects of communications that are potential avenues for covert channels?,3,Detect,No,No,No,SCF
MON-16,Anomalous Behavior,Mechanisms exist to detect and respond to anomalous behavior that could indicate account compromise or other malicious activities.,MON,Technology,Does the organization detect and respond to anomalous behavior that could indicate account compromise or other malicious activities?,10,Detect,No,No,No,SCF
MON-16.1,Insider Threats,Mechanisms exist to monitor internal personnel activity for potential security incidents.,MON,Technology,Does the organization monitor internal personnel activity for potential security incidents?,8,Detect,No,No,No,SCF
MON-16.2,Third-Party Threats,Mechanisms exist to monitor third-party personnel activity for potential security incidents.,MON,Technology,Does the organization monitor third-party personnel activity for potential security incidents?,8,Detect,No,No,No,SCF
MON-16.3,Unauthorized Activities,"Mechanisms exist to monitor for unauthorized activities, accounts, connections, devices and software.",MON,Technology,"Does the organization monitor for unauthorized activities, accounts, connections, devices and software?",8,Detect,No,No,No,SCF
MON-16.4,Account Creation and Modification Logging,Automated mechanisms exist to generate event logs for permissions changes to privileged accounts and/or groups.,MON,Technology,Does the organization use automated mechanisms to generate event logs for permissions changes to privileged accounts and/or groups?,7,Detect,No,No,No,SCF
MON-17,Event Log Analysis & Triage,Mechanisms exist to ensure event log reviews include analysis and triage practices that integrate with the organization's established incident response processes.,MON,Technology,Does the organization ensure event log reviews include analysis and triage practices that integrate with its established incident response processes?,7,Detect,No,No,No,SCF
MON-17.1,Event Log Review Escalation Matrix,Mechanisms exist to make event log review processes more efficient and effective by developing and maintaining an incident response escalation matrix.,MON,Technology,Does the organization make event log review processes more efficient and effective by developing and maintaining an incident response escalation matrix?,7,Detect,No,No,No,SCF
NET-01,Network Security Controls (NSC),"Mechanisms exist to develop, govern & update procedures to facilitate the implementation of Network Security Controls (NSC).",NET,Technology,"Does the organization develop, govern & update procedures to facilitate the implementation of Network Security Controls (NSC)?",10,Govern,No,No,No,SCF
NET-01.1,Zero Trust Architecture (ZTA),Mechanisms exist to treat all users and devices as potential threats and prevent access to data and resources until the users can be properly authenticated and their access authorized.,NET,Technology,Does the organization treat all users and devices as potential threats and prevent access to data and resources until the users can be properly authenticated and their access authorized?,8,Protect,No,No,No,SCF
NET-02,Layered Network Defenses ,Mechanisms exist to implement security functions as a layered structure that minimizes interactions between layers of the design and avoids any dependence by lower layers on the functionality or correctness of higher layers. ,NET,Technology,Does the organization implement security functions as a layered structure that minimizes interactions between layers of the design and avoids any dependence by lower layers on the functionality or correctness of higher layers? ,9,Protect,No,No,No,SCF
NET-02.1,Denial of Service (DoS) Protection,Automated mechanisms exist to protect against or limit the effects of denial of service attacks. ,NET,Technology,Does the organization use automated mechanisms to protect against or limit the effects of denial of service attacks? ,9,Protect,No,No,No,SCF
NET-02.2,Guest Networks,Mechanisms exist to implement and manage a secure guest network. ,NET,Technology,Does the organization implement and manage a secure guest network? ,6,Protect,No,No,No,SCF
NET-02.3,Cross Domain Solution (CDS),Mechanisms exist to implement a Cross Domain Solution (CDS) to mitigate the specific security risks of accessing or transferring information between security domains.,NET,Technology,Does the organization implement a Cross Domain Solution (CDS) to mitigate the specific security risks of accessing or transferring information between security domains?,6,Protect,No,No,No,SCF
NET-03,Boundary Protection ,Mechanisms exist to monitor and control communications at the external network boundary and at key internal boundaries within the network.,NET,Technology,Does the organization monitor and control communications at the external network boundary and at key internal boundaries within the network?,10,Protect,No,No,No,SCF
NET-03.1,Limit Network Connections,Mechanisms exist to limit the number of concurrent external network connections to its systems. ,NET,Technology,Does the organization limit the number of concurrent external network connections to its systems? ,9,Protect,No,No,No,SCF
NET-03.2,External Telecommunications Services ,Mechanisms exist to maintain a managed interface for each external telecommunication service that protects the confidentiality and integrity of the information being transmitted across each interface.,NET,Process,Does the organization maintain a managed interface for each external telecommunication service that protects the confidentiality and integrity of the information being transmitted across each interface?,7,Protect,No,No,No,SCF
NET-03.3,Prevent Discovery of Internal Information,Mechanisms exist to prevent the public disclosure of internal network information. ,NET,Technology,Does the organization prevent the public disclosure of internal network information? ,7,Protect,No,No,No,SCF
NET-03.4,Personal Data (PD),Mechanisms exist to apply network-based processing rules to data elements of Personal Data (PD).,NET,Technology,Does the organization apply network-based processing rules to data elements of Personal Data (PD)?,7,Protect,No,No,No,SCF
NET-03.5,Prevent Unauthorized Exfiltration,Automated mechanisms exist to prevent the unauthorized exfiltration of sensitive/regulated data across managed interfaces. ,NET,Technology,Does the organization use automated mechanisms to prevent the unauthorized exfiltration of sensitive/regulated data across managed interfaces? ,5,Protect,No,No,No,SCF
NET-03.6,Dynamic Isolation & Segregation (Sandboxing),"Automated mechanisms exist to dynamically isolate (e.g., sandbox) untrusted components during runtime, where the component is isolated in a fault-contained environment but it can still collaborate with the application. ",NET,Technology,"Does the organization use automated mechanisms to dynamically isolate (e.g., sandbox) untrusted components during runtime, where the component is isolated in a fault-contained environment but it can still collaborate with the application? ",5,Protect,No,No,No,SCF
NET-03.7,Isolation of Information System Components,"Mechanisms exist to employ boundary protections to isolate systems, services and processes that support critical missions and/or business functions. ",NET,Technology,"Does the organization employ boundary protections to isolate systems, services and processes that support critical missions and/or business functions? ",5,Protect,No,No,No,SCF
NET-03.8,Separate Subnet for Connecting to Different Security Domains,"Mechanisms exist to implement separate network addresses (e.g., different subnets) to connect to systems in different security domains.",NET,Technology,"Does the organization implement separate network addresses (e.g., different subnets) to connect to systems in different security domains?",5,Protect,No,No,No,SCF
NET-04,Data Flow Enforcement  Access Control Lists (ACLs),Mechanisms exist to implement and govern Access Control Lists (ACLs) to provide data flow enforcement that explicitly restrict network traffic to only what is authorized.,NET,Technology,Does the organization implement and govern Access Control Lists (ACLs) to provide data flow enforcement that explicitly restrict network traffic to only what is authorized? ,10,Protect,No,No,No,SCF
NET-04.1,Deny Traffic by Default & Allow Traffic by Exception,"Mechanisms exist to configure firewall and router configurations to deny network traffic by default and allow network traffic by exception (e.g., deny all, permit by exception). ",NET,Technology,"Does the organization configure firewall and router configurations to deny network traffic by default and allow network traffic by exception (e.g., deny all, permit by exception)? ",10,Protect,No,No,No,SCF
NET-04.10,Detection of Unsanctioned Information,"Automated mechanisms exist to implement security policy filters requiring fully enumerated formats that restrict data structure and content, when transferring information between different security domains.",NET,Technology,"Does the organization use automated mechanisms to implement security policy filters requiring fully enumerated formats that restrict data structure and content, when transferring information between different security domains?",5,Detect,No,No,No,SCF
NET-04.11,Approved Solutions,"Automated mechanisms exist to examine information for the presence of unsanctioned information and prohibits the transfer of such information, when transferring information between different security domains.",NET,Technology,"Does the organization use automated mechanisms to examine information for the presence of unsanctioned information and prohibits the transfer of such information, when transferring information between different security domains?",5,Protect,No,No,No,SCF
NET-04.12,Cross Domain Authentication,Automated mechanisms exist to uniquely identify and authenticate source and destination points for information transfer.,NET,Technology,Does the organization use automated mechanisms to uniquely identify and authenticate source and destination points for information transfer?,5,Protect,No,No,No,SCF
NET-04.13,Metadata Validation,Automated mechanisms exist to apply cybersecurity and/or data privacy filters on metadata.,NET,Technology,Does the organization use automated mechanisms to apply cybersecurity and/or data privacy filters on metadata?,2,Protect,No,No,No,SCF
NET-04.14,Application Proxy,"Mechanisms exist to terminate, inspect, control and reinitiate application traffic, regardless of the users location or the security posture of the surrounding network.",NET,Technology,"Does the organization maintain visibility and control over application traffic, regardless of the users location or the security posture of the surrounding network?",7,Protect,No,No,No,SCF
NET-04.2,Object Security Attributes ,"Mechanisms exist to associate security attributes with information, source and destination objects to enforce defined information flow control configurations as a basis for flow control decisions. ",NET,Technology,"Does the organization associate security attributes with information, source and destination objects to enforce defined information flow control configurations as a basis for flow control decisions? ",5,Protect,No,No,No,SCF
NET-04.3,Content Check for Encrypted Data,Mechanisms exist to prevent encrypted data from bypassing content-checking mechanisms. ,NET,Technology,Does the organization prevent encrypted data from bypassing content-checking mechanisms? ,4,Protect,No,No,No,SCF
NET-04.4,Embedded Data Types,Mechanisms exist to enforce limitations on embedding data within other data types. ,NET,Technology,Does the organization enforce limitations on embedding data within other data types? ,2,Protect,No,No,No,SCF
NET-04.5,Metadata ,Mechanisms exist to enforce information flow controls based on metadata. ,NET,Technology,Does the organization enforce information flow controls based on metadata? ,2,Protect,No,No,No,SCF
NET-04.6,Human Reviews,Mechanisms exist to enforce the use of human reviews for Access Control Lists (ACLs) and similar rulesets on a routine basis. ,NET,Process,Does the organization enforce the use of human reviews for Access Control Lists (ACLs) and similar rulesets on a routine basis? ,9,Detect,No,No,No,SCF
NET-04.7,Policy Decision Point (PDP),Automated mechanisms exist to evaluate access requests against established criteria to dynamically and uniformly enforce access rights and permissions.,NET,Technology,Does the organization evaluate access requests against established criteria to dynamically and uniformly enforce access rights and permissions?,5,Protect,No,No,No,SCF
NET-04.8,Data Type Identifiers,Automated mechanisms exist to utilize data type identifiers to validate data essential for information flow decisions when transferring information between different security domains.,NET,Technology,Does the organization use automated mechanisms to utilize data type identifiers to validate data essential for information flow decisions when transferring information between different security domains?,5,Protect,No,No,No,SCF
NET-04.9,Decomposition Into Policy-Related Subcomponents,"Automated mechanisms exist to decompose information into policy-relevant subcomponents for submission to policy enforcement mechanisms, when transferring information between different security domains.",NET,Technology,"Does the organization use automated mechanisms to decompose information into policy-relevant subcomponents for submission to policy enforcement mechanisms, when transferring information between different security domains?",5,Protect,No,No,No,SCF
NET-05,Interconnection Security Agreements (ISAs),"Mechanisms exist to authorize connections from systems to other systems using Interconnection Security Agreements (ISAs), or similar methods, that document, for each interconnection, the interface characteristics, cybersecurity & data privacy requirements and the nature of the information communicated.",NET,Process,"Does the organization authorize connections from systems to other systems using Interconnection Security Agreements (ISAs), or similar methods, that document, for each interconnection, the interface characteristics, cybersecurity & data privacy requirements and the nature of the information communicated?",9,Protect,No,No,No,SCF
NET-05.1,External System Connections,Mechanisms exist to prohibit the direct connection of a sensitive system to an external network without the use of an organization-defined boundary protection device. ,NET,Technology,Does the organization prohibit the direct connection of a sensitive system to an external network without the use of an organization-defined boundary protection device? ,8,Protect,No,No,No,SCF
NET-05.2,Internal System Connections,"Mechanisms exist to control internal system connections through authorizing internal connections of systems and documenting, for each internal connection, the interface characteristics, security requirements and the nature of the information communicated.",NET,Technology,"Does the organization control internal system connections through authorizing internal connections of systems and documenting, for each internal connection, the interface characteristics, security requirements and the nature of the information communicated?",7,Protect,No,No,No,SCF
