id,control_id,level,text
IMP-07.d-L2,07.d,Level 2 (Validated),"The organization processing PII uniformly classifies such data as sensitive, confidential, or similar, which means that there are limitations to its disclosure within the organization and externally.
The organization categorizes (classifies) records by type (e.g., accounting records, database records, transaction logs, audit logs and operational procedures) with details of storage media and document the results. Classifications and associated protective controls for information take account of: business needs for sharing or restricting information; the business impacts associated with such needs; and the aggregation effect."
IMP-07.d-CMS,07.d,Level CMS,The organization creates and documents a process and procedure to affix an organization identification tag to: newly purchased IT-related assets (tagging required prior to deployment in the computing environment); existing non-capital assets (tagging required within one year); and existing capital assets (tagging required within one year).
IMP-07.e-L1,07.e,Level 1 (Validated),The organization physically and/or electronically labels and handles sensitive information commensurate with the risk of the information or document. Labeling reflects the classification according to the rules in the information classification policy.
IMP-07.e-L2,07.e,Level 2 (Validated),"The organization may exempt specific types of media or hardware components, as specified, in writing, by the CIO or his/her designated representative, from marking as long as the exempted items remain within a secure environment.
Information labeling covers information assets in physical format, covers information assets in electronic format, and is supported by automated tools."
IMP-07.e-L3,07.e,Level 3 (Certified),"Information belonging to different classification levels are logically or physically separated. Whenever possible information assets classified as critical are stored in a separate, secure area.
All information systems processing covered information (e.g., PII) inform users of the confidentiality of covered information accessible from the system (e.g., at start-up or log-in)."
IMP-07.e-NYDOH,07.e,Level NYDOH,"Stored data must have at a minimum, the following data, clearly identifiable by labels or other approved coding systems: The System Name, Creation Date, Sensitivity Classification (based on applicable record retention regulations), CMS Contact Information."
IMP-08.a-L1,08.a,Level 1 (Validated),"Computers that store or process covered and/or confidential information are located in rooms with doors and windows that are locked when unattended, and are not located in areas that are unattended and have unrestricted access by the public. External protection is considered for windows, particularly at ground level (public, sensitive, and restricted areas)."
IMP-08.a-L2,08.a,Level 2 (Validated),"Perimeters of a building or site containing information assets are physically sound; there are no gaps in the perimeter or areas where a break-in could easily occur. The external walls of the site are of solid construction. All external doors are protected against unauthorized access with control mechanisms (e.g., bars, alarms, locks etc.).
Repairs or modifications to the physical components of a facility which are related to security (e.g., hardware, walls, doors, and locks) are documented and retained in accordance with the organization’s retention policy."
IMP-08.a-L3,08.a,Level 3 (Certified),"The organization ensures information assets and facilities it manages are physically separated from those managed by third-parties.
Two barriers to access covered information under normal security are required: secured perimeter/locked container; locked perimeter/secured interior; or locked perimeter/security container."
IMP-08.b-L1,08.b,Level 1 (Validated),"Access to areas where sensitive information (e.g., covered information, payment card data) is processed or stored is controlled and restricted to authorized persons only.
For facilities where the information system resides, the organization enforces physical access authorizations at defined entry/exit points to the facility, maintains physical access audit logs, and provides security safeguards the organization determines are necessary for areas officially designated as publicly accessible."
IMP-08.b-L2,08.b,Level 2 (Validated),"Physical access of visitors is recorded and records contain: name of the person visiting; organization of the person visiting; signature of the visitor; form of identification (shown by the visitor); date of access; time of entry; time of departure; purpose of the visit; name of person visited; and organization of person visited. All visitors are supervised unless their access has been previously approved. Third-party support personnel are granted restricted access to secure areas or to covered and/or confidential information processing facilities only when required, authorized, and monitored.
The organization develops, approves, and maintains a list of individuals with authorized access to the facility where the information system resides. The organization issues authorization credentials for facility access, reviews the access list and authorization credentials periodically, but no less than quarterly, and removes individuals from the facility access list when access is no longer required."
IMP-08.b-L3,08.b,Level 3 (Certified),"Doors to internal secure areas lock automatically, implement a door delay alarm, and are equipped with electronic locks (e.g., keypad, card swipe).
The organization will inventory physical access devices within every 90 days."
IMP-08.b-CMS,08.b,Level CMS,"The organization enforces physical access authorizations to the information system in addition to the physical access controls for the facility at defined physical spaces (defined in the applicable security plan) containing a concentration of information system components (e.g., server rooms, media storage areas, data and communications centers, etc.).
The organization employs automated mechanisms to facilitate the maintenance and review of access records."
IMP-08.b-HIX,08.b,Level HIX,"The organization authorizes physical access to the facility where the information system resides and information is received, processed, stored, or transmitted, based on position or role."
IMP-08.b-PCI,08.b,Level PCI,The organization ensures visitors are authorized before entering and escorted at all times within areas where cardholder data is processed or maintained. Visitor logs include the name of the onsite personnel (workforce member) authorizing physical access.
IMP-08.b-NYDOH,08.b,Level NYDOH,"At a minimum, visitor access records include the following information: name of the person visiting; organization of the person visiting; visitor’s signature; form of identification; date of access; time of entry; time of departure; purpose of visit; name of person visited; and organization of person visited.
The organization restricts unescorted access to the facility where the information system resides to personnel with (one or more): security clearances for all information contained within the system, formal access authorizations for all information contained within the system, need for access to all information contained within the system, and/or organization-defined credentials."
IMP-08.c-L1,08.c,Level 1 (Validated),Relevant health and safety regulations and standards are taken into consideration when securing facilities.
IMP-08.c-L2,08.c,Level 2 (Validated),"Critical facilities are sited to avoid access by the public. For particularly sensitive and restricted facilities (e.g., data centers and communication closets) buildings are unobtrusive and give minimum indication of their purpose, with no obvious signs, outside or inside the building identifying the presence of information processing activities.
The organization ensures directories and internal telephone books identifying locations of covered information processing facilities are not readily accessible by the public."
IMP-08.d-L1,08.d,Level 1 (Validated),"The organization develops, disseminates, and reviews/updates annually a formal, documented physical and environmental protection policy. The physical and environmental protection policy addresses purpose, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance. The organization develops formal, documented procedures to facilitate the implementation of the physical and environmental protection policy and associated physical and environmental protection controls."
IMP-08.d-L2,08.d,Level 2 (Validated),"Appropriate fire extinguishers are located throughout the facility, and are no more than fifty (50) feet away from critical electrical components. Fire detectors (e.g., smoke or heat activated) are installed on and in the ceilings and floors.
Fire prevention training is included in the regular training programs provided to the organization personnel. Appropriate fire suppression systems (e.g., sprinklers, gas) are implemented throughout the building, and within secure areas containing information processing devices. For facilities not staffed continuously, these suppression systems are automated. The building’s HVAC system is configured to automatically shut down upon fire detection."
IMP-08.d-L3,08.d,Level 3 (Certified),"Fire authorities are automatically notified when a fire alarm is activated.
Water detectors are located in the dropped ceilings and raised floors to detect leaks or possible flooding. Master shutoff or isolation valves are accessible, working properly, and known to key personnel."
IMP-08.d-CMS,08.d,Level CMS,"The organization employs automated mechanisms to detect the presence of water in the vicinity of the information system, and alert defined personnel or roles (defined in the applicable security plan).
In the event of a fire, fire detection and suppression devices/systems activate automatically, automatically notify the organization, and automatically notify emergency responders."
IMP-08.d-HIX,08.d,Level HIX,"In the event of a fire, fire detection and suppression devices/systems activate automatically, notify organization-specified personnel, and notify emergency responders."
IMP-08.e-L1,08.e,Level 1 (Validated),"The arrangements for working in secure areas include controls for the employees, contractors, and third-party users working in the secure area, as well as other third- party activities taking place there. Personnel are aware of the existence of, or activities within, a secure area on a need to know basis."
IMP-08.e-L2,08.e,Level 2 (Validated),"Unsupervised personnel working in secure areas is avoided both for safety reasons and to prevent opportunities for malicious activities. Vacant secure areas are physically locked and periodically checked.
Photographic, video, audio, or other recording equipment such as cameras in mobile devices are not allowed unless otherwise authorized."
IMP-08.f-L1,08.f,Level 1 (Validated),Access to a delivery and loading area from outside of the building is restricted to identified and authorized personnel. The external doors of a delivery and loading area are secured when the internal doors are opened.
IMP-08.f-L2,08.f,Level 2 (Validated),"The delivery and loading area is designed so that supplies can be unloaded without delivery personnel gaining access to other parts of the building.
Incoming material is registered in accordance with asset management procedures on entry to the site. Incoming and outgoing shipments are physically segregated, where possible."
IMP-08.g-L1,08.g,Level 1 (Validated),"The organization plans the location or site of the facility where the information system resides with regard to physical and environmental hazards and for existing facilities, and considers the physical and environmental hazards in its risk mitigation strategy."
IMP-08.g-L2,08.g,Level 2 (Validated),"Guidelines for eating, drinking, and smoking in proximity to information assets are established.
Lightning protection is applied to all buildings. Lightning protection filters (e.g., surge protectors) are fitted to all incoming power and communications lines."
IMP-08.g-PCI,08.g,Level PCI,"The organization periodically inspects payment card device surfaces to detect tampering (for example, addition of card skimmers to devices) or substitution (for example, by checking the serial number or other device characteristics to verify it has not been swapped with a fraudulent device)."
IMP-08.h-L1,08.h,Level 1 (Validated),An uninterruptable power supply (UPS) to support orderly close down is required for equipment supporting critical business operations. Power contingency plans cover the action to be taken on failure of the UPS. The organization ensures UPS equipment and generators are regularly checked to ensure they have adequate capacity and are tested in accordance with the manufacturer’s recommendations.
IMP-08.h-L2,08.h,Level 2 (Validated),"All supporting utilities, such as electricity, water supply, sewage, heating/ventilation, and air conditioning are adequate for the systems they are supporting. Support utilities are regularly inspected and tested to ensure their proper functioning and to reduce any risk from their malfunction or failure.
The organization maintains temperature and humidity levels in facilities where critical information processing systems reside within acceptable vendor-recommended levels. The organization monitors these levels at an organization-defined frequency."
IMP-08.h-L3,08.h,Level 3 (Certified),Voice services are adequate to meet local legal requirements for emergency communications.
IMP-08.h-CMS,08.h,Level CMS,"The organization provides a long-term alternate power supply (e.g., uninterruptable power supply (UPS), generator, backup power source) for the information system that is capable of maintaining minimally required operational capability in the event of an extended loss of the primary power source."
IMP-08.i-L1,08.i,Level 1 (Validated),The organization protects power equipment and power cabling for the information system from damage and destruction.
IMP-08.i-L2,08.i,Level 2 (Validated),"Access to patch panels and cable rooms are controlled. The organization ensures a documented patch list, clearly identifiable cable, and equipment markings are used to minimize handling errors, such as accidental patching of wrong network cables.
The organization ensures power and telecommunications lines into information processing facilities are underground, where possible, or subject to adequate alternative protection."
IMP-08.i-L3,08.i,Level 3 (Certified),The organization ensures technical sweeps and physical inspections are initiated for unauthorized devices being attached to the cables.
IMP-08.j-L1,08.j,Level 1 (Validated),"The organization formally addresses purpose, scope, roles associated with, responsibilities associated with, management’s commitment to, coordination among organizational entities associated with, and compliance with the organization’s equipment maintenance program. Formal, documented procedures exist to facilitate the implementation of the information system maintenance policy and associated system maintenance controls."
IMP-08.j-L2,08.j,Level 2 (Validated),"Equipment is maintained in accordance with the supplier’s recommended service intervals and specifications, insurance policies, and the organization’s maintenance program. The organization ensures only authorized maintenance personnel carry out repairs and service the equipment. Appropriate controls are implemented when equipment is scheduled for maintenance (e.g., authorization levels) taking into account whether this maintenance is performed by personnel on site or external to the organization.
The organization establishes a process for maintenance personnel authorization, maintains a list of authorized maintenance organizations or personnel, ensures that non-escorted personnel performing maintenance on the information system have required access authorizations, and designates organizational personnel with required access authorizations and technical competence to supervise the maintenance activities of personnel who do not possess the required access authorizations."
IMP-08.j-L3,08.j,Level 3 (Certified),"The organization approves, controls and monitors the use of information system maintenance tools (e.g., hardware and software brought into the organization for diagnostic/repair actions). All maintenance tools carried into the facility by maintenance personnel are inspected for improper or unauthorized modifications.
All media containing diagnostic and test programs are checked for malicious code prior to the media being used in the information system."
IMP-08.j-CMS,08.j,Level CMS,"If password-based authentication is used during remote maintenance, the passwords are changed following each remote maintenance service.
The organization audits non-local maintenance and diagnostic sessions using available auditable events and reviews the maintenance records of the sessions."
IMP-08.j-HIX,08.j,Level HIX,The organization prevents the unauthorized removal of maintenance equipment containing organizational information by: verifying there is no organizational information contained on the equipment; sanitizing or destroying the equipment; retaining the equipment within the facility; or obtaining a written exemption from the CIO or his/her designated representative explicitly authorizing removal of the equipment from the facility.
IMP-08.j-NYDOH,08.j,Level NYDOH,"The organization: schedules, performs, documents, and reviews records of maintenance and repairs on information system components in accordance with manufacturer or vendor specifications and/or organizational requirements; approves and monitors all maintenance activities, whether performed on site or remotely and whether the equipment is serviced on-site or removed to another location; requires that the applicable Business Owner (or an official designated in the applicable security plan) explicitly approves the removal of the information system or system components from organizational facilities for off-site maintenance or repairs; sanitizes equipment to remove all information from associated media prior to removal from organizational facilities for off-site maintenance or repairs; checks all potentially impacted security controls to verify that the controls are still functioning properly following maintenance or repair actions; and includes defined maintenance-related information (defined in the applicable security plan) in organizational maintenance records.
The organization reviews previously approved system maintenance tools every 30 days."
IMP-08.k-L1,08.k,Level 1 (Validated),"Regardless of ownership, the use of any information processing equipment outside the organization’s premises, including equipment used by remote workers, even where such use is permanent (e.g., a core feature of the employee’s role), is authorized by management."
IMP-08.k-L2,08.k,Level 2 (Validated),"The organization ensures that equipment and media taken off the premises are not to be left unattended in public places. Portable computers are carried as hand luggage and disguised where possible when travelling. Manufacturers’ instructions for protecting equipment are observed at all times (e.g., protection against exposure to strong electromagnetic fields).
Home-working controls are applied, including lockable filing cabinets, clear desk policy, and access controls for computers and secure communication with the office."
IMP-08.l-L1,08.l,Level 1 (Validated),"The organization ensures that surplus equipment is stored securely while not in use, and disposed of or sanitized when no longer required."
IMP-08.l-L2,08.l,Level 2 (Validated),"The organization: ensures disk wiping or degaussing is used to securely remove electronic information; ensures shredding, disintegration, grinding surfaces, incineration, pulverization, or melting are used to destroy electronic and hard copy media; ensures devices containing covered and/or confidential information are physically destroyed or the information is destroyed, deleted, or overwritten using techniques to make the original information non-retrievable rather than using the standard delete or format function; renders information unusable, unreadable, or indecipherable on digital system media prior to disposal or release for reuse using organization-defined sanitization techniques and procedures in accordance with applicable federal and organizational standards and policies; renders information unusable, unreadable, or indecipherable on non-digital system media prior to disposal or release for reuse using organization- defined sanitization techniques and procedures in accordance with applicable federal and organizational standards and policies; destroys media containing covered and/or confidential information that cannot be sanitized."
IMP-08.l-NYDOH,08.l,Level NYDOH,"The organization securely stores surplus equipment while not in use, disposed of, or sanitized in accordance with NIST 800-88 when no longer required."
IMP-08.m-L1,08.m,Level 1 (Validated),"The organization ensures equipment, information, and software are not taken off-site without prior authorization. The organization ensures employees, contractors, and third- party users who have authority to permit off-site removal of assets are clearly identified."
IMP-08.m-L2,08.m,Level 2 (Validated),Time limits for equipment removal are set. Returned equipment is checked for compliance. Equipment are recorded as being removed off-site. Equipment are recorded when returned.
IMP-09.a-L1,09.a,Level 1 (Validated),Operating procedures and the documented procedures for system activities are treated as formal documents. Changes to operating procedures and the documented procedures for system activities are authorized by management.
IMP-09.a-L2,09.a,Level 2 (Validated),"The organization prepares documented procedures for system activities associated with information and communication assets, including computer start-up, computer close- down procedures, backup of data, equipment maintenance, media handling, electronic communications, computer room management, mail handling management, and safety.
The detailed instructions for the execution of each job in its operating procedures include: processing and handling of information; the backup of data; scheduling requirements, including interdependencies with other systems, earliest job start and latest job completion times; instructions for handling errors or other exceptional conditions, which might arise during job execution, including restrictions on the use of system utilities; support contacts in the event of unexpected operational or technical difficulties; special output and media handling instructions, such as the use of special stationery or the management of confidential output including procedures for secure disposal of output from failed jobs; system restart and recovery in the event of system failure; and the management of audit-trail and system log information."
IMP-09.a-PCI,09.a,Level PCI,"Operational procedures are documented, communicated, and in use for: managing firewalls; managing vendor defaults and other security parameters; protecting stored cardholder data; encrypting transmissions of cardholder data; protecting systems against malware; developing and maintaining secure systems and applications; restricting access to cardholder data; identification and authentication; restricting physical access to cardholder data; monitoring access to network resources and cardholder data; and security monitoring and testing."
IMP-09.b-L1,09.b,Level 1 (Validated),"Changes to information systems (including changes to applications, databases, configurations, network devices, and operating systems and with the potential exception of automated security patches) are consistently documented, tested, and approved."
IMP-09.b-L2,09.b,Level 2 (Validated),"Changes are managed strictly and consistently. Further, formal management responsibilities and procedures are in place to ensure satisfactory control of all changes to equipment, software or procedures, including: the identification and recording of significant changes; the planning and testing of changes; the assessment of the potential impacts, including security impacts, of such changes; the formal approval for proposed changes; and the communication of change details to all relevant persons.
Fallback procedures are defined and implemented, including procedures and responsibilities for aborting and recovering from unsuccessful changes and unforeseen events."
IMP-09.b-NYDOH,09.b,Level NYDOH,"The organization maintains a baseline configuration for information system development, and a test environment that is managed separately from the operational baseline configuration.
The organization retains records of configuration-controlled changes to the information system for a minimum of three years after the change."
IMP-09.b-DGF,09.b,Level DGF,Data Governance tools and technologies are tested and approved for interoperability.
IMP-09.b-NIS2,09.b,Level NIS2,"In cases where a patch is not available or applied, the organization documents the reasons for not applying the patch, implements compensating controls, and accepts residual risks."
IMP-09.c-L1,09.c,Level 1 (Validated),"Access authorization (e.g., access requests, approvals, and provisioning) is segregated among multiple individuals or groups."
IMP-09.c-L2,09.c,Level 2 (Validated),"Separation of duties, or the monitoring of activities, audit trails, management supervision, or a system of dual control when segregation is not possible, is used to limit the risk of unauthorized or unintentional modification of information assets.
Job descriptions reflect accurately the assigned duties and responsibilities that support separation of duties."
IMP-09.c-L3,09.c,Level 3 (Certified),"The number of administrators is limited to the minimum necessary based upon each users’ role and responsibilities. Security personnel responsible for administering access controls do not perform audit functions for these controls.
Development, testing, quality assurance and production functions are divided among separate individuals or groups to ensure independence."
IMP-09.d-L1,09.d,Level 1 (Validated),"The organization ensures separation between production and non-production (development, test/quality assurance) environments is established and controls are implemented to prevent operational issues."
IMP-09.d-L2,09.d,Level 2 (Validated),"Information systems audit tools (e.g., software or data files) are separated from development and operational systems.
The organization minimizes any testing on production systems. When testing must be performed, a test plan is developed that documents all changes to the system, and the procedures for undoing any changes made to the system (e.g., removing test accounts)."
IMP-09.d-CMS,09.d,Level CMS,"The organization ensures all systems supporting development and pre-production testing are connected to an isolated network separated from production systems. Network traffic into and out of the development and pre-production testing environment is only permitted to facilitate system testing, is restricted by source and destination access control lists (ACLs), is restricted by ports, and is restricted by protocols."
IMP-09.e-L1,09.e,Level 1 (Validated),"Service Level Agreements (SLAs) or contracts with an agreed service arrangement address liability, service definitions (e.g., reliability, availability, and response times for the provision of services), security controls, and other aspects of services management (e.g., monitoring, auditing, impacts to the organization’s resilience, and change management)."
IMP-09.e-L2,09.e,Level 2 (Validated),"The organization develops, disseminates, and reviews/updates annually a list of current service providers, which includes a description of services provided.
In the case of outsourcing arrangements, the organization plans the necessary transitions (of information, information processing systems, and anything else that needs to be moved), and ensures that security is maintained throughout the transition period. The organization ensures that the third-party maintains sufficient service capabilities together with workable plans designed to ensure that agreed service continuity levels are maintained following major service failures or disaster."
IMP-09.e-CMS,09.e,Level CMS,The organization ensures notification of the intent to outsource information system services outside the continental U.S. is sent to CMS at least 60 days prior to commitment of the outsourcing.
IMP-09.e-NYDOH,09.e,Level NYDOH,The organization defines and documents government oversight and user roles and responsibilities with regard to external information system services.
IMP-09.f-L1,09.f,Level 1 (Validated),"The organization ensures a periodic review of service-level agreements (SLAs) is conducted at least annually, and compared against the monitoring records."
IMP-09.f-L2,09.f,Level 2 (Validated),"The organization periodically audits the network services to ensure that network service providers have implemented the required security features, and meet the requirements agreed with management, including new and existing regulations.
The organization monitors security control compliance by external service providers on an ongoing basis. Monitoring involves a service management relationship and process between the organization and the third party. The organization monitors the network service features and service levels to detect abnormalities and violations."
IMP-09.f-L3,09.f,Level 3 (Certified),"The organization ensures service reports produced by the third-parties be reviewed, and regular progress meetings are arranged as required by the agreements. The organization ensures third-party audit trails, records of third-party security events, records of third-party operational problems, records of third-party failures, and records of third-party tracing of faults and disruptions related to service delivery are reviewed. Information about information security incidents are provided to the incident response team. This information is reviewed by the third-party that experienced the incident and the organization which the third-party provides services to as required by the agreements and any supporting guidelines and procedures. Any identified problems are resolved and reviewed by the organization as noted above."
IMP-09.f-CMS,09.f,Level CMS,"The organization employs defined processes, methods, and techniques (defined in the applicable security plan) to monitor security control compliance by external service providers on an ongoing basis.
The organization reviews, every two years, a random sample of agency contracts that provide for the maintenance of a system of records on behalf of the agency to accomplish an agency function, include clauses making all requirements of the Privacy Act apply to the system, and make the criminal penalty provisions of the Privacy Act apply to the contractor or service provider and its personnel."
IMP-09.g-L1,09.g,Level 1 (Validated),The organization ensures that third-party organizations use appropriate change management procedures for any changes to a third-party service or organizational system.
IMP-09.g-L2,09.g,Level 2 (Validated),"The change management on a third-party service includes an assessment and explicit recording of the potential impacts, including security impacts, of such change. Third- party changes are evaluated prior to implementation. Evaluation of third-party changes includes evaluating and implementing changes made by the organization for enhancements made to the current services offered, newly developed applications and systems, modifications or updates of the organization’s policies and procedures, and new controls to resolve information security incidents and to improve security. Evaluation of third-party changes includes evaluating and implementing changes in third-party services for changes and enhancement to networks, use of new technologies, adoption of new products or newer versions/releases, new development tools and environments, and changes to physical location."
IMP-09.h-L1,09.h,Level 1 (Validated),"The organization has allocated sufficient storage capacity to reduce the likelihood of exceeding capacity and the impact on network infrastructure (e.g., bandwidth)."
IMP-09.h-L2,09.h,Level 2 (Validated),"Capacity and monitoring procedures include the: identification of capacity requirements for each new and ongoing system/service; projection of future capacity requirements, considering current use, audit record storage requirements, projected trends, and anticipated changes in business requirements; and system monitoring and tuning to ensure and improve the availability and effectiveness of current systems.
The information system shuts down, stops generating audit records, or overwrites the oldest records if storage media is unavailable or there is an audit storage capacity issue."
IMP-09.h-CIS,09.h,Level CIS,The organization ensures that all systems that store logs have adequate storage space for the logs generated.
IMP-09.h-CMS,09.h,Level CMS,"The information system provides a warning to defined personnel, roles, and/or locations (defined in the applicable security plan), within a defined time period (defined in the applicable security plan), when allocated audit record storage volume reaches 80% of repository maximum audit record storage capacity. The information system provides an alert in real time to defined personnel, roles, and/or locations (defined in the applicable security plan) when the record log is full, upon authentication logging failure, and upon encryption logging failure.
The organization allocates audit record storage capacity to retain audit records for the required audit retention period of 90 days."
IMP-09.i-L1,09.i,Level 1 (Validated),"Requirements and criteria for acceptance of new systems are clearly defined, agreed, documented, and tested. The organization ensures new information systems, upgrades, and new versions are only migrated into production after obtaining formal acceptance from management."
IMP-09.i-L2,09.i,Level 2 (Validated),"The organization requires the developer of the information system, system component, or information system service to: create and implement a security and privacy assessment plan; perform unit, integration, system and regression testing/evaluation in accordance with organization-defined requirements for depth and coverage; produce evidence of the execution of the security and privacy assessment plan and the results of the testing/evaluation; implement a verifiable flaw remediation process; and correct flaws identified during testing/evaluation.
The following action is carried out prior to formal acceptance being provided for a new system: an agreed set of security controls are in place; consultation with affected persons, or representatives of affected groups, at all phases of the process; preparation and testing of routine operating procedures to defined standards; effective manual procedures; evidence that installation of the new system will not adversely affect existing systems, particularly at peak processing times, such as month end; evidence that an analysis has been carried out to the effect the new system has on the overall security of the organization; training in the operation or use of new systems; error recovery and restart procedures, and contingency plans; ease of use (as this affects user performance and avoids human error); and training in the new operation(s). The impact of the installation of any new system is thoroughly analyzed and tested with the coverage of the extreme operational conditions of the current systems."
IMP-09.i-CMS,09.i,Level CMS,"The organization requires the developer of the information system, system component, or information system service to: create and implement a security assessment plan in accordance with, but not limited to, current CMS procedures; perform unit; integration; system; regression testing/evaluation in accordance with the CMS system development life cycle governance process; produce evidence of the execution of the security assessment plan and the results of the security testing/evaluation; implement a verifiable flaw remediation process; and correct flaws identified during security testing/evaluation.
The organization uses hypothetical data when executing test scripts or in a test environment that is configured to comply with the security controls as if it is a production environment."
IMP-09.i-HIX,09.i,Level HIX,"If the security control assessment results are used in support of the security authorization process for the information system, the organization ensures that no security relevant modifications of the information systems have been made subsequent to the assessment and after selective verification of the results."
IMP-09.j-L1,09.j,Level 1 (Validated),"Technologies are implemented for the timely installation of anti-malware protective measures, timely upgrade of anti-malware protective measures, and regular updating anti-malware protective measures, automatically whenever updates are available. Periodic reviews/scans are required of the installed software and the data content of systems to identify and, where possible, remove any unauthorized software. The organization employs anti-malware software that offers a centralized infrastructure that compiles information on file reputations or have administrators manually push updates to all machines. After applying a malicious code detection and repair software update, automated systems verify that each system has received its signature update. The checks carried out by the malicious code detection and repair software to scan computers and media include checking: any files on electronic or optical media, and files received over networks, for malicious code before use; and electronic mail attachments and downloads for malicious code before use or file types that are unnecessary for the organization’s business before use; Web traffic, such as HTML, JavaScript, and HTTP, for malicious code; removable media (e.g., USB tokens and hard drives, CDs/DVDs, external serial advanced technology attachment devices) when inserted. The check of electronic mail attachments and downloads for malicious code is carried out at different places (e.g., at electronic mail servers, desktop computers, and when entering the network of the organization). Bring your own device (BYOD) users are required to use anti-malware software (where supported). Server environments for which the server software developer specifically recommends not installing host-based anti-virus and anti-spyware software are addressed via a network-based malware detection (NBMD) solution.
The organization prohibits users from installing unauthorized software, including data and software from external networks, and disables any auto-run features which allow file execution without user authorization (such as when files are downloaded from the Internet or when removable media is inserted). Users are made aware and trained on requirements relating to prohibition of installing unauthorized software, including data and software from external networks."
IMP-09.j-L2,09.j,Level 2 (Validated),"Anti-virus or anti-spy software (e.g., anti-malware) generates audit logs of checks performed.
Critical system file scans are performed during system boot and every 12 hours."
IMP-09.j-CIS,09.j,Level CIS,"The organization enables anti-exploitation features, e.g., Data Execution Prevention (DEP), Windows Defender Exploit Guard (WDEG), Enhanced Mitigation Experience Toolkit (EMET), and Address Space Layout Randomization (ASLR), in its operating systems and applies anti-exploitation protections to a broader set of applications and executables by deploying additional capabilities, such as the Enhanced Migration Experience Toolkit. The anti-exploitation protection requirements are fully assessed by the organization prior to implementation due to potential difficulties (compatibility issues, etc.)."
IMP-09.j-CMS,09.j,Level CMS,The organization automatically updates spam protection mechanisms at least weekly.
IMP-09.j-NYDOH,09.j,Level NYDOH,"The organization updates malicious code protection mechanisms whenever new releases are available in accordance with CMS configuration management policy and procedures.
Malicious code scanning software on servers (to include databases and applications) is configured to perform critical system file scans no less often than once every 12 hours and full system scans no less often than once every 72 hours."
IMP-09.j-HICP,09.j,Level HICP,"The organization uses an advanced protection technology to automatically remove email messages from the inbox of all users if a message is determined to be malicious after delivery.
The organization implements endpoint detection and response (EDR) technologies on all endpoints for which such tools are available."
IMP-09.k-L1,09.k,Level 1 (Validated),"The organization implements and regularly updates mobile code protection, including anti-virus and anti-spyware."
IMP-09.k-L2,09.k,Level 2 (Validated),"Automated controls (e.g., browser settings) are in place to authorize and restrict the use of mobile code (e.g., Java, JavaScript, ActiveX, PDF, postscript, Shockwave movies, and Flash animations).
The organization blocks any use and receipt (e.g., downloading and execution) of mobile code. The following actions are carried out to protect against mobile code performing unauthorized actions: a logically isolated environment is established for executing mobile code; technical measures are activated as available on a specific system to ensure mobile code performing unauthorized actions is managed; and resources with access to mobile code performing unauthorized actions is controlled."
IMP-09.k-NYDOH,09.k,Level NYDOH,"The organization: defines acceptable and unacceptable mobile code and mobile code technologies; establishes usage restrictions and implementation guidance for acceptable mobile code and mobile code technologies; and authorizes, monitors, and controls the use of mobile code within the information system."
IMP-09.l-L1,09.l,Level 1 (Validated),"Backup copies of information and software are made regularly at appropriate intervals in accordance with an agreed-upon backup policy, are made when equipment is moved (relocated), and are tested regularly at appropriate intervals in accordance with an agreed-upon backup policy. Restoration procedures are tested regularly at appropriate intervals in accordance with an agreed-upon backup policy.
A formal definition of the level of backup required for each system is defined and documented including the scope of data to be imaged, frequency of imaging, and duration of retention based on relevant contractual, legal, regulatory, and business requirements. The organization formally defines and documents how each system is completely restored from backup."
IMP-09.l-L2,09.l,Level 2 (Validated),"Inventory records for the backup copies are maintained, include the content of the backup copies, and include the current location of the backup copies.
When the backup service is delivered by the third-party, the service level agreement includes the detailed protections to control confidentiality, integrity, and availability of the backup information."
IMP-09.l-L3,09.l,Level 3 (Certified),"The organization performs full backups weekly to separate media and incremental or differential backups daily to separate media.
Three generations of backups (full plus all related incremental or differential backups) are stored off-site. Off-site and on-site backups are logged with name, date, time, and action."
IMP-09.l-CMS,09.l,Level CMS,"Backups include copies of: user-level information; system-level information (including system state information); the operating system; other critical information system software; and the information system inventory (including hardware, software, and firmware components).
The organization transfers information system backup information to the alternate storage site at defined time periods (defined in the applicable security plan) and transfer rates (defined in the applicable security plan) consistent with the recovery time and recovery point objectives."
IMP-09.l-HIX,09.l,Level HIX,"The organization ensures a current, retrievable copy of personally identifiable information (PII) is available before the movement of servers."
