enhancement_id,control_id,enhancement_number,enhancement_name,enhancement_text,discussion,related_controls,status,source_document
PT-6(1),PT-6,1,ROUTINE USES,"Review all routine uses published in the system of records notice at [Assignment: organization-defined frequency] to ensure continued accuracy, and to ensure that routine uses continue to be compatible with the purpose for which the information was collected.","A [PRIVACT] routine use is a particular kind of disclosure of a record outside of the federal agency maintaining the system of records. A routine use is an exception to the [PRIVACT] prohibition on the disclosure of a record in a system of records without the prior written consent of the individual to whom the record pertains. To qualify as a routine use, the disclosure must be for a purpose that is compatible with the purpose for which the information was originally collected. The [PRIVACT] requires agencies to describe each routine use of the records maintained in the system of records, including the categories of users of the records and the purpose of the use. Agencies may only establish routine uses by explicitly publishing them in the relevant system of records notice.",,Active,NIST SP 800-53r5 (KB 2/USA/NIST.SP.800-53r5.pdf)
PT-6(2),PT-6,2,EXEMPTION RULES,"Review all Privacy Act exemptions claimed for the system of records at [Assignment: organization-defined frequency] to ensure they remain appropriate and necessary in accordance with law, that they have been promulgated as regulations, and that they are accurately described in the system of records notice.","The [PRIVACT] includes two sets of provisions that allow federal agencies to claim exemptions from certain requirements in the statute. In certain circumstances, these provisions allow agencies to promulgate regulations to exempt a system of records from select provisions of the [PRIVACT]. At a minimum, organizations’ [PRIVACT] exemption regulations include the specific name(s) of any system(s) of records that will be exempt, the specific provisions of the [PRIVACT] from which the system(s) of records is to be exempted, the reasons for the exemption, and an explanation for why the exemption is both necessary and appropriate.",,Active,NIST SP 800-53r5 (KB 2/USA/NIST.SP.800-53r5.pdf)
PT-7(1),PT-7,1,SOCIAL SECURITY NUMBERS,"When a system processes Social Security numbers: (a) Eliminate unnecessary collection, maintenance, and use of Social Security numbers, and explore alternatives to their use as a personal identifier; (b) Do not deny any individual any right, benefit, or privilege provided by law because of such individual’s refusal to disclose his or her Social Security number; and (c) Inform any individual who is asked to disclose his or her Social Security number whether that disclosure is mandatory or voluntary, by what statutory or other authority such number is solicited, and what uses will be made of it.",Federal law and policy establish specific requirements for organizations’ processing of Social Security numbers. Organizations take steps to eliminate unnecessary uses of Social Security numbers and other sensitive information and observe any particular requirements that apply.,IA-4,Active,NIST SP 800-53r5 (KB 2/USA/NIST.SP.800-53r5.pdf)
PT-7(2),PT-7,2,FIRST AMENDMENT INFORMATION,Prohibit the processing of information describing how any individual exercises rights guaranteed by the First Amendment unless expressly authorized by statute or by the individual or unless pertinent to and within the scope of an authorized law enforcement activity.,The [PRIVACT] limits agencies’ ability to process information that describes how individuals exercise rights guaranteed by the First Amendment. Organizations consult with the senior agency official for privacy and legal counsel regarding these requirements.,,Active,NIST SP 800-53r5 (KB 2/USA/NIST.SP.800-53r5.pdf)
RA-2(1),RA-2,1,IMPACT-LEVEL PRIORITIZATION,Conduct an impact-level prioritization of organizational systems to obtain additional granularity on system impact levels.,"Organizations apply the “high-water mark” concept to each system categorized in accordance with [FIPS 199], resulting in systems designated as low impact, moderate impact, or high impact. Organizations that desire additional granularity in the system impact designations for risk-based decision-making, can further partition the systems into sub- categories of the initial system categorization. For example, an impact-level prioritization on a moderate-impact system can produce three new sub-categories: low-moderate systems, moderate-moderate systems, and high-moderate systems. Impact-level prioritization and the resulting sub-categories of the system give organizations an opportunity to focus their investments related to security control selection and the tailoring of control baselines in responding to identified risks. Impact-level prioritization can also be used to determine those systems that may be of heightened interest or value to adversaries or represent a critical loss to the federal enterprise, sometimes described as high value assets. For such high value assets, organizations may be more focused on complexity, aggregation, and information exchanges. Systems with high value assets can be prioritized by partitioning high-impact systems into low-high systems, moderate-high systems, and high-high systems. Alternatively, organizations can apply the guidance in [CNSSI 1253] for security objective- related categorization.",,Active,NIST SP 800-53r5 (KB 2/USA/NIST.SP.800-53r5.pdf)
RA-3(1),RA-3,1,SUPPLY CHAIN RISK ASSESSMENT,"(a) Assess supply chain risks associated with [Assignment: organization-defined systems, system components, and system services]; and (b) Update the supply chain risk assessment [Assignment: organization-defined frequency], when there are significant changes to the relevant supply chain, or when changes to the system, environments of operation, or other conditions may necessitate a change in the supply chain.","Supply chain-related events include disruption, use of defective components, insertion of counterfeits, theft, malicious development practices, improper delivery practices, and insertion of malicious code. These events can have a significant impact on the confidentiality, integrity, or availability of a system and its information and, therefore, can also adversely impact organizational operations (including mission, functions, image, or reputation), organizational assets, individuals, other organizations, and the Nation. The supply chain-related events may be unintentional or malicious and can occur at any point during the system life cycle. An analysis of supply chain risk can help an organization identify systems or components for which additional supply chain risk mitigations are required.","RA-2, RA-9, PM-17, PM-30, SR-2",Active,NIST SP 800-53r5 (KB 2/USA/NIST.SP.800-53r5.pdf)
RA-3(2),RA-3,2,USE OF ALL-SOURCE INTELLIGENCE,Use all-source intelligence to assist in the analysis of risk.,"Organizations employ all-source intelligence to inform engineering, acquisition, and risk management decisions. All-source intelligence consists of information derived from all available sources, including publicly available or open-source information, measurement and signature intelligence, human intelligence, signals intelligence, and imagery intelligence. All-source intelligence is used to analyze the risk of vulnerabilities (both intentional and unintentional) from development, manufacturing, and delivery processes, people, and the environment. The risk analysis may be performed on suppliers at multiple tiers in the supply chain sufficient to manage risks. Organizations may develop agreements to share all-source intelligence information or resulting decisions with other organizations, as appropriate.",,Active,NIST SP 800-53r5 (KB 2/USA/NIST.SP.800-53r5.pdf)
RA-3(3),RA-3,3,DYNAMIC THREAT AWARENESS,Determine the current cyber threat environment on an ongoing basis using [Assignment: organization-defined means].,"The threat awareness information that is gathered feeds into the organization’s information security operations to ensure that procedures are updated in response to the changing threat environment. For example, at higher threat levels, organizations may change the privilege or authentication thresholds required to perform certain operations.",AT-2,Active,NIST SP 800-53r5 (KB 2/USA/NIST.SP.800-53r5.pdf)
RA-3(4),RA-3,4,PREDICTIVE CYBER ANALYTICS,Employ the following advanced automation and analytics capabilities to predict and identify risks to [Assignment: organization-defined systems or system components]: [Assignment: organization-defined advanced automation and analytics capabilities].,"A properly resourced Security Operations Center (SOC) or Computer Incident Response Team (CIRT) may be overwhelmed by the volume of information generated by the proliferation of security tools and appliances unless it employs advanced automation and analytics to analyze the data. Advanced automation and analytics capabilities are typically supported by artificial intelligence concepts, including machine learning. Examples include Automated Threat Discovery and Response (which includes broad-based collection, context- based analysis, and adaptive response capabilities), automated workflow operations, and machine assisted decision tools. Note, however, that sophisticated adversaries may be able to extract information related to analytic parameters and retrain the machine learning to classify malicious activity as benign. Accordingly, machine learning is augmented by human monitoring to ensure that sophisticated adversaries are not able to conceal their activities.",,Active,NIST SP 800-53r5 (KB 2/USA/NIST.SP.800-53r5.pdf)
RA-5(1),RA-5,1,UPDATE TOOL CAPABILITY,[Withdrawn: Incorporated into RA-5.],,,Withdrawn,NIST SP 800-53r5 (KB 2/USA/NIST.SP.800-53r5.pdf)
RA-5(2),RA-5,2,UPDATE VULNERABILITIES TO BE SCANNED,Update the system vulnerabilities to be scanned [Selection (one or more): [Assignment: organization-defined frequency]; prior to a new scan; when new vulnerabilities are identified and reported].,"Due to the complexity of modern software, systems, and other factors, new vulnerabilities are discovered on a regular basis. It is important that newly discovered vulnerabilities are added to the list of vulnerabilities to be scanned to ensure that the organization can take steps to mitigate those vulnerabilities in a timely manner.",SI-5,Active,NIST SP 800-53r5 (KB 2/USA/NIST.SP.800-53r5.pdf)
RA-5(3),RA-5,3,BREADTH AND DEPTH OF COVERAGE,Define the breadth and depth of vulnerability scanning coverage.,"The breadth of vulnerability scanning coverage can be expressed as a percentage of components within the system, by the particular types of systems, by the criticality of systems, or by the number of vulnerabilities to be checked. Conversely, the depth of vulnerability scanning coverage can be expressed as the level of the system design that the organization intends to monitor (e.g., component, module, subsystem, element). Organizations can determine the sufficiency of vulnerability scanning coverage with regard to its risk tolerance and other factors. Scanning tools and how the tools are configured may affect the depth and coverage. Multiple scanning tools may be needed to achieve the desired depth and coverage. [SP 800-53A] provides additional information on the breadth and depth of coverage.",,Active,NIST SP 800-53r5 (KB 2/USA/NIST.SP.800-53r5.pdf)
RA-5(4),RA-5,4,DISCOVERABLE INFORMATION,Determine information about the system that is discoverable and take [Assignment: organization-defined corrective actions].,"Discoverable information includes information that adversaries could obtain without compromising or breaching the system, such as by collecting information that the system is exposing or by conducting extensive web searches. Corrective actions include notifying appropriate organizational personnel, removing designated information, or changing the system to make the designated information less relevant or attractive to adversaries. This enhancement excludes intentionally discoverable information that may be part of a decoy capability (e.g., honeypots, honeynets, or deception nets) deployed by the organization.","AU-13, SC-26",Active,NIST SP 800-53r5 (KB 2/USA/NIST.SP.800-53r5.pdf)
RA-5(5),RA-5,5,PRIVILEGED ACCESS,Implement privileged access authorization to [Assignment: organization-defined system components] for [Assignment: organization-defined vulnerability scanning activities].,"In certain situations, the nature of the vulnerability scanning may be more intrusive, or the system component that is the subject of the scanning may contain classified or controlled unclassified information, such as personally identifiable information. Privileged access authorization to selected system components facilitates more thorough vulnerability scanning and protects the sensitive nature of such scanning.",,Active,NIST SP 800-53r5 (KB 2/USA/NIST.SP.800-53r5.pdf)
RA-5(6),RA-5,6,AUTOMATED TREND ANALYSES,Compare the results of multiple vulnerability scans using [Assignment: organization- defined automated mechanisms].,Using automated mechanisms to analyze multiple vulnerability scans over time can help determine trends in system vulnerabilities and identify patterns of attack.,,Active,NIST SP 800-53r5 (KB 2/USA/NIST.SP.800-53r5.pdf)
RA-5(7),RA-5,7,AUTOMATED DETECTION AND NOTIFICATION OF UNAUTHORIZED COMPONENTS,[Withdrawn: Incorporated into CM-8.],,,Withdrawn,NIST SP 800-53r5 (KB 2/USA/NIST.SP.800-53r5.pdf)
RA-5(8),RA-5,8,REVIEW HISTORIC AUDIT LOGS,Review historic audit logs to determine if a vulnerability identified in a [Assignment: organization-defined system] has been previously exploited within an [Assignment: organization-defined time period].,"Reviewing historic audit logs to determine if a recently detected vulnerability in a system has been previously exploited by an adversary can provide important information for forensic analyses. Such analyses can help identify, for example, the extent of a previous intrusion, the trade craft employed during the attack, organizational information exfiltrated or modified, mission or business capabilities affected, and the duration of the attack.","AU-6, AU-11",Active,NIST SP 800-53r5 (KB 2/USA/NIST.SP.800-53r5.pdf)
RA-5(9),RA-5,9,PENETRATION TESTING AND ANALYSES,[Withdrawn: Incorporated into CA-8.],,,Withdrawn,NIST SP 800-53r5 (KB 2/USA/NIST.SP.800-53r5.pdf)
RA-5(10),RA-5,10,CORRELATE SCANNING INFORMATION,Correlate the output from vulnerability scanning tools to determine the presence of multi- vulnerability and multi-hop attack vectors.,"An attack vector is a path or means by which an adversary can gain access to a system in order to deliver malicious code or exfiltrate information. Organizations can use attack trees to show how hostile activities by adversaries interact and combine to produce adverse impacts or negative consequences to systems and organizations. Such information, together with correlated data from vulnerability scanning tools, can provide greater clarity regarding multi-vulnerability and multi-hop attack vectors. The correlation of vulnerability scanning information is especially important when organizations are transitioning from older technologies to newer technologies (e.g., transitioning from IPv4 to IPv6 network protocols). During such transitions, some system components may inadvertently be unmanaged and create opportunities for adversary exploitation.",,Active,NIST SP 800-53r5 (KB 2/USA/NIST.SP.800-53r5.pdf)
RA-5(11),RA-5,11,PUBLIC DISCLOSURE PROGRAM,Establish a public reporting channel for receiving reports of vulnerabilities in organizational systems and system components.,The reporting channel is publicly discoverable and contains clear language authorizing good-faith research and the disclosure of vulnerabilities to the organization. The organization does not condition its authorization on an expectation of indefinite non- disclosure to the public by the reporting entity but may request a specific time period to properly remediate the vulnerability.,,Active,NIST SP 800-53r5 (KB 2/USA/NIST.SP.800-53r5.pdf)
SA-3(1),SA-3,1,MANAGE PREPRODUCTION ENVIRONMENT,"Protect system preproduction environments commensurate with risk throughout the system development life cycle for the system, system component, or system service.","The preproduction environment includes development, test, and integration environments. The program protection planning processes established by the Department of Defense are examples of managing the preproduction environment for defense contractors. Criticality analysis and the application of controls on developers also contribute to a more secure system development environment.","CM-2, CM-4, RA-3, RA-9, SA-4.",Active,NIST SP 800-53r5
SA-3(2),SA-3,2,USE OF LIVE OR OPERATIONAL DATA,"(a) Approve, document, and control the use of live data in preproduction environments for the system, system component, or system service; and (b) Protect preproduction environments for the system, system component, or system service at the same impact or classification level as any live data in use within the preproduction environments.","Live data is also referred to as operational data. The use of live or operational data in preproduction (i.e., development, test, and integration) environments can result in significant risks to organizations. In addition, the use of personally identifiable information in testing, research, and training increases the risk of unauthorized disclosure or misuse of such information. Therefore, it is important for the organization to manage any additional risks that may result from the use of live or operational data. Organizations can minimize such risks by using test or dummy data during the design, development, and testing of systems, system components, and system services. Risk assessment techniques may be used to determine if the risk of using live or operational data is acceptable.","PM-25, RA-3.",Active,NIST SP 800-53r5
SA-3(3),SA-3,3,TECHNOLOGY REFRESH,Plan for and implement a technology refresh schedule for the system throughout the system development life cycle.,"Technology refresh planning may encompass hardware, software, firmware, processes, personnel skill sets, suppliers, service providers, and facilities. The use of obsolete or nearing obsolete technology may increase the security and privacy risks associated with unsupported components, counterfeit or repurposed components, components unable to implement security or privacy requirements, slow or inoperable components, components from untrusted sources, inadvertent personnel error, or increased complexity. Technology refreshes typically occur during the operations and maintenance stage of the system development life cycle.",MA-6.,Active,NIST SP 800-53r5
SA-4(1),SA-4,1,FUNCTIONAL PROPERTIES OF CONTROLS,"Require the developer of the system, system component, or system service to provide a description of the functional properties of the controls to be implemented.","Functional properties of security and privacy controls describe the functionality (i.e., security or privacy capability, functions, or mechanisms) visible at the interfaces of the controls and specifically exclude functionality and data structures internal to the operation of the controls.",None.,Active,NIST SP 800-53r5
SA-4(2),SA-4,2,DESIGN AND IMPLEMENTATION INFORMATION FOR CONTROLS,"Require the developer of the system, system component, or system service to provide design and implementation information for the controls that includes: [Selection (one or more): security-relevant external system interfaces; high-level design; low-level design; source code or hardware schematics; [Assignment: organization-defined design and implementation information]] at [Assignment: organization-defined level of detail].","Organizations may require different levels of detail in the documentation for the design and implementation of controls in organizational systems, system components, or system services based on mission and business requirements, requirements for resiliency and trustworthiness, and requirements for analysis and testing. Systems can be partitioned into multiple subsystems. Each subsystem within the system can contain one or more modules. The high-level design for the system is expressed in terms of subsystems and the interfaces between subsystems providing security-relevant functionality. The low-level design for the system is expressed in terms of modules and the interfaces between modules providing security-relevant functionality. Design and implementation documentation can include manufacturer, version, serial number, verification hash signature, software libraries used, date of purchase or download, and the vendor or download source. Source code and hardware schematics are referred to as the implementation representation of the system.",None.,Active,NIST SP 800-53r5
SA-4(3),SA-4,3,"DEVELOPMENT METHODS, TECHNIQUES, AND PRACTICES","Require the developer of the system, system component, or system service to demonstrate the use of a system development life cycle process that includes: (a) [Assignment: organization-defined systems engineering methods]; (b) [Assignment: organization-defined [Selection (one or more): systems security; privacy] engineering methods]; and (c) [Assignment: organization-defined software development methods; testing, evaluation, assessment, verification, and validation methods; and quality control processes].","Following a system development life cycle that includes state-of-the-practice software development methods, systems engineering methods, systems security and privacy engineering methods, and quality control processes helps to reduce the number and severity of latent errors within systems, system components, and system services. Reducing the number and severity of such errors reduces the number of vulnerabilities in those systems, components, and services. Transparency in the methods and techniques that developers select and implement for systems engineering, systems security and privacy engineering, software development, component and system assessments, and quality control processes provides an increased level of assurance in the trustworthiness of the system, system component, or system service being acquired.",None.,Active,NIST SP 800-53r5
SA-4(4),SA-4,4,ASSIGNMENT OF COMPONENTS TO SYSTEMS,[Withdrawn: Incorporated into CM-8(9).],,,Withdrawn,NIST SP 800-53r5
SA-4(5),SA-4,5,"SYSTEM, COMPONENT, AND SERVICE CONFIGURATIONS","Require the developer of the system, system component, or system service to: (a) Deliver the system, component, or service with [Assignment: organization-defined security configurations] implemented; and (b) Use the configurations as the default for any subsequent system, component, or service reinstallation or upgrade.","Examples of security configurations include the U.S. Government Configuration Baseline (USGCB), Security Technical Implementation Guides (STIGs), and any limitations on functions, ports, protocols, and services. Security characteristics can include requiring that default passwords have been changed.",None.,Active,NIST SP 800-53r5
SA-4(6),SA-4,6,USE OF INFORMATION ASSURANCE PRODUCTS,(a) Employ only government off-the-shelf or commercial off-the-shelf information assurance and information assurance-enabled information technology products that compose an NSA-approved solution to protect classified information when the networks used to transmit the information are at a lower classification level than the information being transmitted; and (b) Ensure that these products have been evaluated and/or validated by NSA or in accordance with NSA-approved procedures.,Commercial off-the-shelf IA or IA-enabled information technology products used to protect classified information by cryptographic means may be required to use NSA-approved key management. See [NSA CSFC].,"SC-8, SC-12, SC-13.",Active,NIST SP 800-53r5
SA-4(7),SA-4,7,NIAP-APPROVED PROTECTION PROFILES,"(a) Limit the use of commercially provided information assurance and information assurance-enabled information technology products to those products that have been successfully evaluated against a National Information Assurance partnership (NIAP)-approved Protection Profile for a specific technology type, if such a profile exists; and (b) Require, if no NIAP-approved Protection Profile exists for a specific technology type but a commercially provided information technology product relies on cryptographic functionality to enforce its security policy, that the cryptographic module is FIPS-validated or NSA-approved.",See [NIAP CCEVS] for additional information on NIAP. See [NIST CMVP] for additional information on FIPS-validated cryptographic modules.,"IA-7, SC-12, SC-13.",Active,NIST SP 800-53r5
SA-4(8),SA-4,8,CONTINUOUS MONITORING PLAN FOR CONTROLS,"Require the developer of the system, system component, or system service to produce a plan for continuous monitoring of control effectiveness that is consistent with the continuous monitoring program of the organization.","The objective of continuous monitoring plans is to determine if the planned, required, and deployed controls within the system, system component, or system service continue to be effective over time based on the inevitable changes that occur. Developer continuous monitoring plans include a sufficient level of detail such that the information can be incorporated into continuous monitoring programs implemented by organizations. Continuous monitoring plans can include the types of control assessment and monitoring activities planned, frequency of control monitoring, and actions to be taken when controls fail or become ineffective.",CA-7.,Active,NIST SP 800-53r5
SA-4(9),SA-4,9,"FUNCTIONS, PORTS, PROTOCOLS, AND SERVICES IN USE","Require the developer of the system, system component, or system service to identify the functions, ports, protocols, and services intended for organizational use.","The identification of functions, ports, protocols, and services early in the system development life cycle (e.g., during the initial requirements definition and design stages) allows organizations to influence the design of the system, system component, or system service. This early involvement in the system development life cycle helps organizations avoid or minimize the use of functions, ports, protocols, or services that pose unnecessarily high risks and understand the trade-offs involved in blocking specific ports, protocols, or services or requiring system service providers to do so. Early identification of functions, ports, protocols, and services avoids costly retrofitting of controls after the system, component, or system service has been implemented. SA-9 describes the requirements for external system services. Organizations identify which functions, ports, protocols, and services are provided from external sources.","CM-7, SA-9.",Active,NIST SP 800-53r5
SA-4(10),SA-4,10,USE OF APPROVED PIV PRODUCTS,Employ only information technology products on the FIPS 201-approved products list for Personal Identity Verification (PIV) capability implemented within organizational systems.,Products on the FIPS 201-approved products list meet NIST requirements for Personal Identity Verification (PIV) of Federal Employees and Contractors. PIV cards are used for multi-factor authentication in systems and organizations.,"IA-2, IA-8, PM-9.",Active,NIST SP 800-53r5
SA-4(11),SA-4,11,SYSTEM OF RECORDS,Include [Assignment: organization-defined Privacy Act requirements] in the acquisition contract for the operation of a system of records on behalf of an organization to accomplish an organizational mission or function.,"When, by contract, an organization provides for the operation of a system of records to accomplish an organizational mission or function, the organization, consistent with its authority, causes the requirements of the [PRIVACT] to be applied to the system of records.",PT-6.,Active,NIST SP 800-53r5
SA-4(12),SA-4,12,DATA OWNERSHIP,(a) Include organizational data ownership requirements in the acquisition contract; and (b) Require all data to be removed from the contractor’s system and returned to the organization within [Assignment: organization-defined time frame].,Contractors who operate a system that contains data owned by an organization initiating the contract have policies and procedures in place to remove the data from their systems and/or return the data in a time frame defined by the contract.,None.,Active,NIST SP 800-53r5
SA-5(1),SA-5,1,FUNCTIONAL PROPERTIES OF SECURITY CONTROLS,[Withdrawn: Incorporated into SA-4(1).],,,Withdrawn,NIST SP 800-53r5
SA-5(2),SA-5,2,SECURITY-RELEVANT EXTERNAL SYSTEM INTERFACES,[Withdrawn: Incorporated into SA-4(2).],,,Withdrawn,NIST SP 800-53r5
SA-5(3),SA-5,3,HIGH-LEVEL DESIGN,[Withdrawn: Incorporated into SA-4(2).],,,Withdrawn,NIST SP 800-53r5
SA-5(4),SA-5,4,LOW-LEVEL DESIGN,[Withdrawn: Incorporated into SA-4(2).],,,Withdrawn,NIST SP 800-53r5
SA-5(5),SA-5,5,SOURCE CODE,[Withdrawn: Incorporated into SA-4(2).],,,Withdrawn,NIST SP 800-53r5
SA-8(1),SA-8,1,CLEAR ABSTRACTIONS,Implement the security design principle of clear abstractions.,"The principle of clear abstractions states that a system has simple, well-defined interfaces and functions that provide a consistent and intuitive view of the data and how the data is managed. The clarity, simplicity, necessity, and sufficiency of the system interfaces— combined with a precise definition of their functional behavior—promotes ease of analysis, inspection, and testing as well as the correct and secure use of the system. The clarity of an abstraction is subjective. Examples that reflect the application of this principle include avoidance of redundant, unused interfaces; information hiding; and avoidance of semantic overloading of interfaces or their parameters. Information hiding (i.e., representation-independent programming), is a design discipline used to ensure that the internal representation of information in one system component is not visible to another system component invoking or calling the first component, such that the published abstraction is not influenced by how the data may be managed internally.",None.,Active,NIST SP 800-53r5
SA-8(2),SA-8,2,LEAST COMMON MECHANISM,Implement the security design principle of least common mechanism in [Assignment: organization-defined systems or system components].,The principle of least common mechanism states that the amount of mechanism common to more than one user and depended on by all users is minimized [POPEK74]. Mechanism minimization implies that different components of a system refrain from using the same mechanism to access a system resource. Every shared mechanism (especially a mechanism involving shared variables) represents a potential information path between users and is designed with care to ensure that it does not unintentionally compromise security [SALTZER75]. Implementing the principle of least common mechanism helps to reduce the adverse consequences of sharing the system state among different programs. A single program that corrupts a shared state (including shared variables) has the potential to corrupt other programs that are dependent on the state. The principle of least common mechanism also supports the principle of simplicity of design and addresses the issue of covert storage channels [LAMPSON73].,None.,Active,NIST SP 800-53r5
SA-8(3),SA-8,3,MODULARITY AND LAYERING,Implement the security design principles of modularity and layering in [Assignment: organization-defined systems or system components].,"The principles of modularity and layering are fundamental across system engineering disciplines. Modularity and layering derived from functional decomposition are effective in managing system complexity by making it possible to comprehend the structure of the system. Modular decomposition, or refinement in system design, is challenging and resists general statements of principle. Modularity serves to isolate functions and related data structures into well-defined logical units. Layering allows the relationships of these units to be better understood so that dependencies are clear and undesired complexity can be avoided. The security design principle of modularity extends functional modularity to include considerations based on trust, trustworthiness, privilege, and security policy. Security-informed modular decomposition includes the allocation of policies to systems in a network, separation of system applications into processes with distinct address spaces, allocation of system policies to layers, and separation of processes into subjects with distinct privileges based on hardware-supported privilege domains.","SC-2, SC-3.",Active,NIST SP 800-53r5
SA-8(4),SA-8,4,PARTIALLY ORDERED DEPENDENCIES,Implement the security design principle of partially ordered dependencies in [Assignment: organization-defined systems or system components].,"The principle of partially ordered dependencies states that the synchronization, calling, and other dependencies in the system are partially ordered. A fundamental concept in system design is layering, whereby the system is organized into well-defined, functionally related modules or components. The layers are linearly ordered with respect to inter-layer dependencies, such that higher layers are dependent on lower layers. While providing functionality to higher layers, some layers can be self-contained and not dependent on lower layers. While a partial ordering of all functions in a given system may not be possible, if circular dependencies are constrained to occur within layers, the inherent problems of circularity can be more easily managed. Partially ordered dependencies and system layering contribute significantly to the simplicity and coherency of the system design. Partially ordered dependencies also facilitate system testing and analysis.",None.,Active,NIST SP 800-53r5
SA-8(5),SA-8,5,EFFICIENTLY MEDIATED ACCESS,Implement the security design principle of efficiently mediated access in [Assignment: organization-defined systems or system components].,"The principle of efficiently mediated access states that policy enforcement mechanisms utilize the least common mechanism available while satisfying stakeholder requirements within expressed constraints. The mediation of access to system resources (i.e., CPU, memory, devices, communication ports, services, infrastructure, data, and information) is often the predominant security function of secure systems. It also enables the realization of protections for the capability provided to stakeholders by the system. Mediation of resource access can result in performance bottlenecks if the system is not designed correctly. For example, by using hardware mechanisms, efficiently mediated access can be achieved. Once access to a low-level resource such as memory has been obtained, hardware protection mechanisms can ensure that out-of-bounds access does not occur.",AC-25.,Active,NIST SP 800-53r5
SA-8(6),SA-8,6,MINIMIZED SHARING,Implement the security design principle of minimized sharing in [Assignment: organization-defined systems or system components].,"The principle of minimized sharing states that no computer resource is shared between system components (e.g., subjects, processes, functions) unless it is absolutely necessary to do so. Minimized sharing helps to simplify system design and implementation. In order to protect user-domain resources from arbitrary active entities, no resource is shared unless that sharing has been explicitly requested and granted. The need for resource sharing can be motivated by the design principle of least common mechanism in the case of internal entities or driven by stakeholder requirements. However, internal sharing is carefully designed to avoid performance and covert storage and timing channel problems. Sharing via common mechanism can increase the susceptibility of data and information to unauthorized access, disclosure, use, or modification and can adversely affect the inherent capability provided by the system. To minimize sharing induced by common mechanisms, such mechanisms can be designed to be reentrant or virtualized to preserve separation. Moreover, the use of global data to share information is carefully scrutinized. The lack of encapsulation may obfuscate relationships among the sharing entities.",SC-31.,Active,NIST SP 800-53r5
SA-8(7),SA-8,7,REDUCED COMPLEXITY,Implement the security design principle of reduced complexity in [Assignment: organization-defined systems or system components].,"The principle of reduced complexity states that the system design is as simple and small as possible. A small and simple design is more understandable, more analyzable, and less prone to error. The reduced complexity principle applies to any aspect of a system, but it has particular importance for security due to the various analyses performed to obtain evidence about the emergent security property of the system. For such analyses to be successful, a small and simple design is essential. Application of the principle of reduced complexity contributes to the ability of system developers to understand the correctness and completeness of system security functions. It also facilitates the identification of potential vulnerabilities. The corollary of reduced complexity states that the simplicity of the system is directly related to the number of vulnerabilities it will contain; that is, simpler systems contain fewer vulnerabilities. An benefit of reduced complexity is that it is easier to understand whether the intended security policy has been captured in the system design and that fewer vulnerabilities are likely to be introduced during engineering development. An additional benefit is that any such conclusion about correctness, completeness, and the existence of vulnerabilities can be reached with a higher degree of assurance in contrast to conclusions reached in situations where the system design is inherently more complex. Transitioning from older technologies to newer technologies (e.g., transitioning from IPv4 to IPv6) may require implementing the older and newer technologies simultaneously during the transition period. This may result in a temporary increase in system complexity during the transition.",None.,Active,NIST SP 800-53r5
SA-8(8),SA-8,8,SECURE EVOLVABILITY,Implement the security design principle of secure evolvability in [Assignment: organization-defined systems or system components].,"The principle of secure evolvability states that a system is developed to facilitate the maintenance of its security properties when there are changes to the system’s structure, interfaces, interconnections (i.e., system architecture), functionality, or configuration (i.e., security policy enforcement). Changes include a new, enhanced, or upgraded system capability; maintenance and sustainment activities; and reconfiguration. Although it is not possible to plan for every aspect of system evolution, system upgrades and changes can be anticipated by analyses of mission or business strategic direction, anticipated changes in the threat environment, and anticipated maintenance and sustainment needs. It is unrealistic to expect that complex systems remain secure in contexts not envisioned during development, whether such contexts are related to the operational environment or to usage. A system may be secure in some new contexts, but there is no guarantee that its emergent behavior will always be secure. It is easier to build trustworthiness into a system from the outset, and it follows that the sustainment of system trustworthiness requires planning for change as opposed to adapting in an ad hoc or non-methodical manner. The benefits of this principle include reduced vendor life cycle costs, reduced cost of ownership, improved system security, more effective management of security risk, and less risk uncertainty.",CM-3.,Active,NIST SP 800-53r5
SA-8(9),SA-8,9,TRUSTED COMPONENTS,Implement the security design principle of trusted components in [Assignment: organization-defined systems or system components].,"The principle of trusted components states that a component is trustworthy to at least a level commensurate with the security dependencies it supports (i.e., how much it is trusted to perform its security functions by other components). This principle enables the composition of components such that trustworthiness is not inadvertently diminished and the trust is not consequently misplaced. Ultimately, this principle demands some metric by which the trust in a component and the trustworthiness of a component can be measured on the same abstract scale. The principle of trusted components is particularly relevant when considering systems and components in which there are complex chains of trust dependencies. A trust dependency is also referred to as a trust relationship and there may be chains of trust relationships. The principle of trusted components also applies to a compound component that consists of subcomponents (e.g., a subsystem), which may have varying levels of trustworthiness. The conservative assumption is that the trustworthiness of a compound component is that of its least trustworthy subcomponent. It may be possible to provide a security engineering rationale that the trustworthiness of a particular compound component is greater than the conservative assumption. However, any such rationale reflects logical reasoning based on a clear statement of the trustworthiness objectives as well as relevant and credible evidence. The trustworthiness of a compound component is not the same as increased application of defense-in-depth layering within the component or a replication of components. Defense-in-depth techniques do not increase the trustworthiness of the whole above that of the least trustworthy component.",None.,Active,NIST SP 800-53r5
