subarticle_id,subarticle_number,article_id,article_number,reference,text,source_document
A31-7,7,A31,31,Article 31(7),"In order to enable persons engaged in data processing to understand their duties and responsibilities, a data controller shall develop a basic privacy checklist as a guide.","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A31-8,8,A31,31,Article 31(8),A data controller or data processor shall develop and implement a written policy for routine checks on compliance practices which may be carried out without notice to employees. This policy may be part of a larger data governance policy of the data controller or data processor.,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A32-1,1,A32,32,Article 32(1),"A data controller or a data processor who (whether for itself or for other persons) deploys or intends to deploy data processing software for the purposes of tracking a data subject or enabling a communication link with a data subject and processing his or her personal data, is under an obligation to abide by the provisions of the NDP Act.","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A32-2,2,A32,32,Article 32(2),"For the purposes of complying with this NDP Act-GAID and in addition to other obligations imposed on a data controller or a data processor, it is mandatory for the data controller or data processor in the circumstances referred to in Article 32 (1) to:","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A32-3,3,A32,32,Article 32(3),Examples of software referred to in this NDP Act-GAID are:,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A33-1,1,A33,33,Article 33(1),"A data controller shall put in place, appropriate technical and organisational measures to prevent the use of its platform, facility, network or howsoever called, from being used to breach the privacy of a data subject.","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A33-2,2,A33,33,Article 33(2),"When the Commission notifies a data controller that its platform, facility, network or howsoever called is being used by any person to commit an offence under the NDP Act or to carry out a breach of privacy, the data controller shall immediately restrict such person on its platform, facility or network, pending the outcome of an investigation by the Commission.","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A33-3,3,A33,33,Article 33(3),"In determining if a breach of privacy has occurred, the Commission shall only rely on credible documentary or electronic records.","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A33-4,4,A33,33,Article 33(4),"Where a data controller fails, refuses or neglects to carry out the directives of the Commission to prevent further breach of privacy, the data controller shall be deemed as abetting a breach of privacy and shall be accountable for violation of the NDP Act as if it directly committed a breach of data privacy.","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A34-1,1,A34,34,Article 34(1),"The NDP Act under Section 40(2) provides that ""a data controller shall, within 72 hours of becoming aware of a breach which is likely to result in a risk to the rights and freedoms of individuals, notify the Commission of the breach and, where feasible, describe the nature of the personal data breach including the categories and approximate numbers of data subjects and personal data records concerned.""","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A34-2,2,A34,34,Article 34(2),"A breach is likely to result in a high risk to the rights and freedoms of individuals if, considering the nature of the breach, the personal data involved as well as the probability of accessing other personal data of the data subject through the breach, the data subject may become a victim of fraud, identity theft or exposure of sensitive personal data.","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A34-3,3,A34,34,Article 34(3),"In line with Section 40(2) of the NDP Act, a data controller shall notify affected data subjects immediately after becoming aware of the breach in order to ensure that data subjects are not unlawfully targeted as a result of the breach. This is in furtherance of the principle of duty of care and accountability.","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A34-4,4,A34,34,Article 34(4),"Notwithstanding the time provided for the notification of a data breach, a data controller shall exercise a duty of care by providing immediate information on data breach to all relevant authorities including the Commission, if such immediate information may help in containing imminent data breaches on a national scale or containment measures may be necessary at national, sectoral or at an individual level or where it may affect members of the general public.","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A34-5,5,A34,34,Article 34(5),The content of a data breach notification to the Commission shall include the following among others:,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A35-1,1,A35,35,Article 35(1),"In line with Section 29 of the NDP Act, a data processor is expected to rely on a Data Processing Agreement (DPA) with the data controller in order to carry out data processing on behalf of the data controller.","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A35-2,2,A35,35,Article 35(2),"In addition to other relevant terms and conditions, as may be prescribed by law, a DPA shall include the following:","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A35-3,3,A35,35,Article 35(3),"A party to any DPA other than an individual data subject, shall take reasonable measures to ensure that the other party is compliant under the NDP Act, accountable to the Commission or, in the case of a foreign party, to a competent regulatory authority outside Nigeria; accordingly, every data controller or data processor shall be accountable for the actions or inactions of third parties it engages or permits to carry out data processing.","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A35-4,4,A35,35,Article 35(4),"Where a party to an agreement operates as a sole proprietorship, an individual agent or a self-employed worker, by reason of which he or she may not be organised to fulfil the obligations of corporate entities, such a person or individual shall for the purposes of his or her engagement in high-risk data processing, be required to be trained in data protection and privacy. Evidence of training and registration as a data processor of major importance shall be relied upon as a rebuttable proof of compliance with the NDP Act.","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A36-1,1,A36,36,Article 36(1),A data controller or data processor shall be cognisant of the need to advance data protection and privacy rights and the measures meticulously designed for this purpose in the globally interconnected and constantly evolving data protection ecosystem.,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A36-2,2,A36,36,Article 36(2),"In the event that a data controller or data processor is to take a decision on an applicable technical and organisational measure for safeguarding data privacy rights, it is legally imperative to take into account the provisions of the extant Fundamental Rights Enforcement Procedure Rules in Nigeria on the importance of the municipal, regional and international bill of rights.","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A36-3,3,A36,36,Article 36(3),"In furtherance of Article 36 (1), (2), a data controller or data processor may, subject to the approval of the Commission, benchmark its data processing with Interoperable Data Privacy Measures (IDPMs) in circumstances where a specific directive is required by the Commission under the NDP Act.","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A36-4,4,A36,36,Article 36(4),"Where a data controller intends to benchmark with an IDPM which expressly requires directives of the Commission under the NDP Act, it shall seek the approval of the Commission through an application stating the following:","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A36-5,5,A36,36,Article 36(5),"In furtherance of Sections 5(i) and 62(a)(ii) of the NDP Act, the Commission may within thirty (30) days, issue an approval for the benchmarking of data processing with an IDPM if it is satisfied that the use of such IDPM is without prejudice to the provisions of the NDP Act.","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A36-6,6,A36,36,Article 36(6),"For the purposes of Article 35 (1) – (5), IDPM means best practice templates which are not limited by jurisdictional procedures and are particularly in furtherance of the globally interoperable principles of data protection as stipulated in Section 24 of the NDP Act. Accordingly, instances where IDPM may be used include but are not limited to:","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A36-7,7,A36,36,Article 36(7),"Without prejudice to the provisions of the NDP Act and any regulatory instrument issued by the Commission, a DPO is required to consider suitable IDPMs which may be used by a data controller or a data processor as part of global best practices in data processing. Accordingly, it is appropriate for a DPO to proactively review IDPMs prior to when the need for them arises. The Commission shall continuously provide guidance on IDPMs.","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A37-1,1,A37,37,Article 37(1),The right to data rectification is essential to the operation of the principle of data accuracy under the NDP Act.,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A37-2,2,A37,37,Article 37(2),The data controller shall ensure that the platforms through which it processes personal data also provide an effective opportunity for data rectification.,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A37-3,3,A37,37,Article 37(3),Data rectification may not depend on the provision of an affidavit or a publication in a newspaper provided that the rectification is to bring the data into alignment with the personal data relating to the data subject's National Identification Number (NIN).,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A37-4,4,A37,37,Article 37(4),"Where data rectification is for the purpose of correcting an error made by the data controller or data processor in inputting the personal data of the data subject, the data subject shall not be required to pay in order to correct an error which is not his or her fault. Accordingly, it is important to ensure that the data subject is provided with manifestly ample opportunity to verify his or her data before such data is submitted in a permanent format.","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A37-5,5,A37,37,Article 37(5),"Whenever there is a dispute as to whether a data subject was provided with manifestly ample opportunity to verify his or her personal data before being submitted in a permanent format, the data controller shall provide the evidence of the manifestly ample opportunity. Accordingly, data processing platforms together with the technical and organisational measures for their operations shall be designed in a way that may allow the data controller to audit any source of error.","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A38-1,1,A38,38,Article 38(1),A data subject has a right to data portability.,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A38-2,2,A38,38,Article 38(2),The right to data portability shall apply where the data subject provided the personal data on the basis of his or her consent or the processing is necessary for the performance of a contract. It may not apply where processing is based on a legal ground other than consent or contract.,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A38-3,3,A38,38,Article 38(3),The right to data portability may not apply against a data controller in the performance of their public duties; unless there is a compelling legitimate interest or right of a data subject that may be abridged by reason of denying the data subject's right of data portability.,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A38-4,4,A38,38,Article 38(4),"Where, in a certain set of personal data, more than one data subject is concerned, the right to receive the personal data should be without prejudice to the rights and freedoms of other data subjects in accordance with the NDP Act or any regulatory instrument issued by the Commission.","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A38-5,5,A38,38,Article 38(5),The right to data portability shall not prejudice the right of the data subject to obtain the erasure of personal data and the limitations of that right as prescribed under the NDP Act.,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A38-6,6,A38,38,Article 38(6),Nothing in this Article shall imply the erasure of personal data concerning the data subject which has been provided by him or her for the performance of a contract to the extent that and for as long as are necessary for the performance of that contract.,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A39-1,1,A39,39,Article 39(1),A data subject has the right to have his or her personal data erased if:,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A39-2,2,A39,39,Article 39(2),"However, an organisation's interest in processing the personal data may override a data subject's right to be forgotten if:","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A39-3,3,A39,39,Article 39(3),"Without prejudice to the provisions of the NDP Act, where a data controller has made personal data public or has shared data with third parties, the data controller is under obligation to ensure the erasure of such personal data by the third parties at the request of the data subject or in compliance with the directives of the Commission in that regard.","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A39-4,4,A39,39,Article 39(4),This right may not apply where there is a public interest pursued by disclosure of the data to the general public – provided that the burden of proving the existence of a public interest shall be on the data controller who intends to keep the personal data public.,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A40-1,1,A40,40,Article 40(1),The right to lodge a complaint with the Commission shall be deemed as a threshold right of redress in furtherance of the right to privacy under Section 37 of the 1999 Constitution and Section 46 of the NDP Act.,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A40-2,2,A40,40,Article 40(2),"Every regulation, policy, framework, or legal instrument which pertains to the processing of personal data shall in addition to all applicable data subject rights contain a clause on the right to lodge a complaint with the Nigeria Data Protection Commission.","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A40-3,3,A40,40,Article 40(3),"The Commission may set up an electronic platform through which a data subject may lodge his or her complaint with the Commission and it shall acknowledge the receipt of the complaint within seven (7) days, provided that the Commission shall continue to receive complaints by any reasonable means through which it may be contacted by a complainant (including but not limited to hard copies at its known offices and emails).","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A40-4,4,A40,40,Article 40(4),"Where a complaint is received on any platform other than through a designated complaint platform or through a hard copy duly delivered to its known offices, the Commission may only acknowledge as soon as possible, taking into consideration the number of unrelated information that may be undergoing processing on such platforms.","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A40-5,5,A40,40,Article 40(5),"Upon the receipt of a complaint in line with Section 46 of the NDP Act, the Commission shall carry out a preliminary evaluation of the complaint – taking into account:","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A40-6,6,A40,40,Article 40(6),"Where the Commission is convinced through a preliminary evaluation that there is a violation of the NDP Act, it shall open a case file for the complaint.","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A40-7,7,A40,40,Article 40(7),"Upon the opening of a case file, the Commission shall immediately serve the affected data controller or data processor (hereafter referred to as the respondent) a notice of investigation.","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A40-8,8,A40,40,Article 40(8),"The notice of investigation may require the respondent to provide, where applicable:","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A40-9,9,A40,40,Article 40(9),"The respondent shall, except as otherwise specified by the Commission, reply the Commission within twenty-one (21) days.","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A40-10,10,A40,40,Article 40(10),"If the Commission deems it appropriate, it shall invite the respondent to a Pre-Action Conference (PAC) in order to examine the facts and the available evidence provided by the parties or obtained by the Commission through investigation.","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A40-11,11,A40,40,Article 40(11),PACs may take place as frequently as necessary in respect of a complaint or an investigation carried out by the Commission pursuant to Section 46(3) of the NDP Act.,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A40-12,12,A40,40,Article 40(12),"In line with the power vested in the Commission under Section 6(e) of the NDP Act, the Commission may direct a data controller to attend a PAC with any relevant person who is legally compellable or competent to give evidence and who may provide relevant information in determining an issue relating to violation of the NDP Act.","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A40-13,13,A40,40,Article 40(13),"Where the Commission is satisfied that a violation of the NDP Act has taken place, it shall direct appropriate remedial action to be taken by the respondent as prescribed by the NDP Act and shall communicate its decision to the complainant and to the affected parties within forty-five (45) days of holding a final PAC.","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A40-14,14,A40,40,Article 40(14),Nothing in this NDP Act-GAID shall prevent the Commission from issuing a temporary order on such terms and conditions as it deems fit in the interest of protecting the privacy right of a data subject – particularly when the violation of a data privacy right may not be remedied properly through compensation.,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A41-1,1,A41,41,Article 41(1),"In line with the power vested in the Commission to, among others, make regulations for the protection of personal data and data subjects under section 61(1)-(2)(b) of the NDP Act, the Commission may promote the use of Data Subject's Standard Notice to Address Grievance (SNAG).","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A41-2,2,A41,41,Article 41(2),An aggrieved data subject may issue a SNAG to a data controller or a data processor where the data subject reasonably believes that the data controller or data processor violated his or her right to data privacy.,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A41-3,3,A41,41,Article 41(3),"SNAG shall not be regarded as a condition precedent for lodging a direct complaint with the Commission or for instituting an action, rather it shall be regarded as a standardised template for demanding internal remediation in an organisation which may be acting in violation of a data subject's privacy.","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A41-4,4,A41,41,Article 41(4),SNAG may be served directly by a data subject or by a person acting under his or her authority or by a civil society organisation acting in the public interest.,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A41-5,5,A41,41,Article 41(5),The Commission may create an electronic platform through which it may track SNAGs.,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A41-6,6,A41,41,Article 41(6),"Upon receipt of a SNAG, a data controller or a data processor shall communicate its decision on the SNAG to the Commission through the designated electronic platform.","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A41-7,7,A41,41,Article 41(7),The Commission may take executive notice of SNAGs and institute direct investigation into the service of a SNAG on a data controller or a data processor particularly when such SNAG appears to be unresolved.,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A41-8,8,A41,41,Article 41(8),"A SNAG may be served on a data controller or a data processor via its physical address, telephone messaging medium, e-mail address, courier service or other reasonable means of correspondence.","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A42-1,1,A42,42,Article 42(1),A data controller or a data processor shall prioritise the principles of data ethics which offer additional safeguards to the privacy and dignity of the human person.,"Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A42-2,2,A42,42,Article 42(2),"To fortify the principles of the sanctity of personal information and the preservation of human dignity, both data controllers and data processors must steadfastly adhere to the tenets of data ethics.","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A42-3,3,A42,42,Article 42(3),"Data ethics, as enshrined in this Article, serves as an indispensable guide, elevating the standards of safeguarding individuals' privacy and upholding their inherent dignity. This entails a commitment to transparency, fairness, and responsible data management practices.","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
A42-4,4,A42,42,Article 42(4),"Transparency forms the bedrock of ethical data handling. Data controllers and processors must furnish individuals with clear and comprehensible information regarding the collection, processing, and storage of their data. This ensures that individuals are well-informed, empowering them to make informed decisions about their personal information.","Nigeria Data Protection Act (NDP Act) 2023 General Application and Implementation Directive (GAID) 2024, ref. NDPC/NDP ACT-GAID/001/2024 (KB 2/Africa/Nigeria-Data-Protection-Act(NDP ACT)2023(GAID)2024.pdf)"
